symbol,window,test_start,test_end,n_rows,model_pct,bh_pct,excess_pct,n_buy,n_close,n_skip,model_file
2330,55,2024-01-02,2026-03-30,539,86.4244,206.3666,-119.9422,267,68,193,2330_all_55.data
2317,55,2024-01-02,2026-03-30,539,91.4082,89.9614,1.4468,178,90,260,2317_all_55.data
2454,55,2024-01-02,2026-03-30,539,74.3264,59.7025,14.6238,528,0,0,2454_all_55.data
2308,55,2024-01-02,2026-03-30,539,239.9083,385.935,-146.0267,172,107,249,2308_all_55.data
2303,55,2024-01-02,2026-03-30,539,37.1196,14.1789,22.9406,224,76,228,2303_all_55.data
2303,60,2024-01-02,2026-03-30,539,35.6908,14.1789,21.5119,251,203,74,2303_all_60.data
2303,65,2024-01-02,2026-03-30,539,70.2626,14.1789,56.0836,169,155,204,2303_all_65.data
2412,55,2024-01-02,2026-03-30,539,2.1784,15.6276,-13.4491,64,127,337,2412_all_55.data
1303,55,2024-01-02,2026-03-30,539,80.5578,24.311,56.2468,67,77,384,1303_all_55.data
1303,60,2024-01-02,2026-03-30,539,69.621,24.311,45.31,282,49,197,1303_all_60.data
1303,65,2024-01-02,2026-03-30,539,70.5036,24.311,46.1926,447,8,73,1303_all_65.data
2881,55,2024-01-02,2026-03-30,539,51.5679,43.56,8.0079,236,75,217,2881_all_55.data
2881,60,2024-01-02,2026-03-30,539,44.1699,43.56,0.6099,216,103,209,2881_all_60.data
2881,65,2024-01-02,2026-03-30,539,77.8718,43.56,34.3118,82,238,208,2881_all_65.data
2891,55,2024-01-02,2026-03-30,539,72.6281,92.2103,-19.5822,528,0,0,2891_all_55.data
2891,60,2024-01-02,2026-03-30,539,86.8332,92.2103,-5.3771,76,18,434,2891_all_60.data
2891,65,2024-01-02,2026-03-30,539,54.6668,92.2103,-37.5436,222,51,255,2891_all_65.data
2002,55,2024-01-02,2026-03-30,539,23.9912,-28.4204,52.4117,197,128,203,2002_all_55.data
2002,60,2024-01-02,2026-03-30,539,-16.5094,-28.4204,11.911,47,2,479,2002_all_60.data
2002,65,2024-01-02,2026-03-30,539,17.6765,-28.4204,46.097,109,70,349,2002_all_65.data
2882,55,2024-01-02,2026-03-30,539,58.5265,59.3784,-0.8519,528,0,0,2882_all_55.data
2882,60,2024-01-02,2026-03-30,539,54.0563,59.3784,-5.3221,234,147,147,2882_all_60.data
2882,65,2024-01-02,2026-03-30,539,62.8293,59.3784,3.4509,202,137,189,2882_all_65.data
