symbol,window,test_start,test_end,n_rows,model_pct,bh_pct,excess_pct,n_buy,n_close,n_skip,model_file
AAPL,60,2024-01-02,2026-03-30,562,40.2202,32.711,7.5092,157,19,375,AAPL_all_60.data
AAPL,65,2024-01-02,2026-03-30,562,79.5151,32.711,46.8041,79,132,340,AAPL_all_65.data
AAPL,75,2024-01-02,2026-03-30,562,81.3577,32.711,48.6467,222,119,210,AAPL_all_75.data
AMGN,60,2024-01-02,2026-03-30,562,15.5916,29.6843,-14.0927,168,156,227,AMGN_all_60.data
AMGN,65,2024-01-02,2026-03-30,562,47.2452,29.6843,17.5609,174,78,299,AMGN_all_65.data
AMGN,75,2024-01-02,2026-03-30,562,98.5533,29.6843,68.869,235,186,130,AMGN_all_75.data
AMZN,60,2024-01-02,2026-03-30,562,38.2844,32.1653,6.1192,109,160,282,AMZN_all_60.data
AMZN,65,2024-01-02,2026-03-30,562,62.2768,32.1653,30.1116,241,125,185,AMZN_all_65.data
AMZN,75,2024-01-02,2026-03-30,562,108.596,32.1653,76.4308,133,119,299,AMZN_all_75.data
AXP,60,2024-01-02,2026-03-30,562,58.487,63.0922,-4.6051,192,220,139,AXP_all_60.data
AXP,65,2024-01-02,2026-03-30,562,69.2995,63.0922,6.2073,149,92,310,AXP_all_65.data
AXP,75,2024-01-02,2026-03-30,562,89.6018,63.0922,26.5096,130,239,182,AXP_all_75.data
BA,60,2024-01-02,2026-03-30,562,51.1587,-26.8976,78.0563,25,114,412,BA_all_60.data
BA,65,2024-01-02,2026-03-30,562,44.6115,-26.8976,71.509,419,115,17,BA_all_65.data
BA,75,2024-01-02,2026-03-30,562,94.6743,-26.8976,121.5719,96,131,324,BA_all_75.data
CAT,60,2024-01-02,2026-03-30,562,100.5703,134.705,-34.1347,551,0,0,CAT_all_60.data
CAT,65,2024-01-02,2026-03-30,562,105.9266,134.705,-28.7784,255,163,133,CAT_all_65.data
CAT,75,2024-01-02,2026-03-30,562,135.7004,134.705,0.9954,183,28,340,CAT_all_75.data
CRM,60,2024-01-02,2026-03-30,562,0.0,-28.5592,28.5592,0,359,192,CRM_all_60.data
CRM,65,2024-01-02,2026-03-30,562,35.6491,-28.5592,64.2083,50,210,291,CRM_all_65.data
CRM,75,2024-01-02,2026-03-30,562,100.7207,-28.5592,129.2799,126,216,209,CRM_all_75.data
CSCO,60,2024-01-02,2026-03-30,562,58.4561,62.0391,-3.583,295,74,182,CSCO_all_60.data
CSCO,65,2024-01-02,2026-03-30,562,60.3042,62.0391,-1.7349,348,90,113,CSCO_all_65.data
CSCO,75,2024-01-02,2026-03-30,562,62.3676,62.0391,0.3285,237,59,255,CSCO_all_75.data
CVX,60,2024-01-02,2026-03-30,562,45.0189,54.3876,-9.3687,391,120,40,CVX_all_60.data
CVX,65,2024-01-02,2026-03-30,562,85.0246,54.3876,30.6369,267,193,91,CVX_all_65.data
CVX,75,2024-01-02,2026-03-30,562,95.3049,54.3876,40.9173,177,143,231,CVX_all_75.data
DIS,60,2024-01-02,2026-03-30,562,37.4787,6.3608,31.1179,197,98,256,DIS_all_60.data
DIS,65,2024-01-02,2026-03-30,562,66.5598,6.3608,60.1989,164,174,213,DIS_all_65.data
DIS,75,2024-01-02,2026-03-30,562,90.123,6.3608,83.7621,71,37,443,DIS_all_75.data
GS,60,2024-01-02,2026-03-30,562,58.0805,121.0969,-63.0164,309,67,175,GS_all_60.data
GS,65,2024-01-02,2026-03-30,562,78.9323,121.0969,-42.1646,225,154,172,GS_all_65.data
GS,75,2024-01-02,2026-03-30,562,122.909,121.0969,1.8122,107,200,244,GS_all_75.data
HD,60,2024-01-02,2026-03-30,562,37.1749,-1.0944,38.2693,171,91,289,HD_all_60.data
HD,65,2024-01-02,2026-03-30,562,34.6954,-1.0944,35.7898,34,141,376,HD_all_65.data
HD,75,2024-01-02,2026-03-30,562,63.3764,-1.0944,64.4708,265,110,176,HD_all_75.data
HON,60,2024-01-02,2026-03-30,562,25.5681,18.631,6.9372,191,31,329,HON_all_60.data
HON,65,2024-01-02,2026-03-30,562,33.9663,18.631,15.3354,98,223,230,HON_all_65.data
HON,75,2024-01-02,2026-03-30,562,67.7011,18.631,49.0701,86,86,379,HON_all_75.data
IBM,60,2024-01-02,2026-03-30,562,47.0491,55.315,-8.266,288,126,137,IBM_all_60.data
IBM,65,2024-01-02,2026-03-30,562,60.5187,55.315,5.2036,239,84,228,IBM_all_65.data
IBM,75,2024-01-02,2026-03-30,562,119.2344,55.315,63.9193,123,177,251,IBM_all_75.data
JNJ,60,2024-01-02,2026-03-30,562,39.9306,64.7263,-24.7957,239,173,139,JNJ_all_60.data
