<DATE>,<DES>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2005-01-03,0,7.32,7.35,7.25,7.29
2005-01-04,0,7.29,7.32,7.19,7.19
2005-01-05,1,7.09,7.15,7.09,7.12
2005-01-06,0,7.15,7.15,7.09,7.15
2005-01-07,0,7.15,7.19,7.05,7.05
2005-01-10,0,7.09,7.15,7.09,7.12
2005-01-11,0,7.15,7.19,7.12,7.15
2005-01-12,0,7.15,7.15,7.02,7.02
2005-01-13,0,7.05,7.09,6.95,6.95
2005-01-14,1,6.95,7.05,6.92,6.99
2005-01-17,1,7.05,7.09,7.02,7.02
2005-01-18,0,7.05,7.09,6.99,6.99
2005-01-19,1,7.02,7.09,6.95,6.99
2005-01-20,1,6.95,7.02,6.92,6.95
2005-01-21,0,6.95,6.99,6.89,6.92
2005-01-24,0,6.92,6.92,6.72,6.75
2005-01-25,1,6.75,6.82,6.72,6.79
2005-01-26,1,6.82,6.92,6.79,6.92
2005-01-27,1,6.89,6.89,6.82,6.89
2005-01-28,0,6.89,6.92,6.82,6.82
2005-01-31,0,6.85,7.09,6.85,7.05
2005-02-01,0,6.92,7.09,6.92,7.05
2005-02-02,1,7.09,7.19,7.05,7.12
2005-02-03,1,7.12,7.19,7.09,7.12
2005-02-14,0,7.19,7.19,7.09,7.12
2005-02-15,0,7.12,7.15,7.09,7.12
2005-02-16,1,7.12,7.15,7.05,7.09
2005-02-17,1,7.05,7.12,7.02,7.02
2005-02-18,0,7.02,7.05,6.99,6.99
2005-02-21,0,7.02,7.09,6.99,7.05
2005-02-22,1,7.09,7.12,6.99,7.02
2005-02-23,1,7.02,7.02,6.89,6.95
2005-02-24,0,6.95,6.99,6.92,6.95
2005-02-25,0,6.99,7.05,6.99,7.02
2005-03-01,0,7.02,7.1,6.99,7.1
2005-03-02,0,7.1,7.12,7.04,7.05
2005-03-03,1,7.05,7.05,6.99,7.04
2005-03-04,0,7.04,7.07,7.0,7.02
2005-03-07,1,7.07,7.09,7.02,7.05
2005-03-08,0,7.09,7.09,7.0,7.0
2005-03-09,1,7.02,7.1,7.0,7.07
2005-03-10,0,7.07,7.1,7.04,7.07
2005-03-11,0,7.09,7.14,7.05,7.07
