<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,0.9696088778665204,0.9745483373279094,0.9369789089845528,0.9473071694374084,691992000,0
2005-01-04,0.9547899150925754,0.9799356392562965,0.94251631408674,0.9570354223251344,1096810400,1
2005-01-05,0.9648181826887772,0.976643443772271,0.95868178076122,0.965417504310608,680433600,0
2005-01-06,0.9679615460378912,0.971553978828757,0.9479052534592192,0.966166079044342,705555200,0
2005-01-07,0.972900978036098,1.0422017655378832,0.9691592644887974,1.0365138053894043,2227450400,1
2005-01-10,1.0451950608654983,1.0582172682285775,1.016008353909439,1.032173752784729,1725309600,0
2005-01-11,1.0215462257641896,1.0350167738886449,0.9600288275085128,0.96631520986557,2611627200,0
2005-01-12,0.9796372501146418,0.986372877838374,0.9474565171786364,0.9797872304916382,1919702400,0
2005-01-13,1.1032696549419865,1.1138970700661,1.04369861616591,1.0447462797164917,3164716800,1
2005-01-14,1.0514819500063155,1.07348449893207,1.0356166055327152,1.05073344707489,1770742400,1
2005-01-18,1.0454944461697686,1.0582173938749442,1.0140622275548188,1.0574688911437988,1006460000,1
2005-01-19,1.055073911333286,1.069592223797802,1.0439980513359417,1.0459434986114502,751895200,0
2005-01-20,1.0425012885606797,1.066749341047481,1.0398073380629065,1.0546249151229858,914922400,1
2005-01-21,1.0673478018303344,1.071687938585716,1.0477399480640506,1.0550740957260132,911332800,0
2005-01-24,1.0624082046930985,1.0743825481125453,1.0559717415574992,1.059114933013916,841629600,1
2005-01-25,1.0682453233595957,1.090247862925814,1.0618096597232771,1.0784235000610352,969231200,1
2005-01-26,1.087554203112403,1.0889011284781969,1.0660008992527177,1.0814177989959717,739496800,1
2005-01-27,1.080070033148899,1.0914459575735416,1.0709404166468777,1.0872550010681152,496227200,1
2005-01-28,1.0869554551131908,1.1073110103607178,1.0842607056582063,1.1073110103607178,801612000,0
2005-01-31,1.1162924745698533,1.165835447087393,1.1152447105204026,1.1510170698165894,1681097600,1
2005-02-01,1.1532624762982118,1.1640390773158595,1.1462274897309852,1.1604466438293457,678395200,0
2005-02-02,1.166733428461869,1.1960702298073982,1.1628417324284437,1.1918792724609375,1020062400,1
2005-02-03,1.1839457945680718,1.188885251560161,1.157453042870343,1.1646372079849243,731651200,0
2005-02-04,1.165535639489874,1.1814009740108002,1.1604462024460185,1.180053949356079,563556000,0
2005-02-07,1.181401137822769,1.1876876201239972,1.1599979212866478,1.181551218032837,524456800,0
2005-02-08,1.1834969047492112,1.2180723146028165,1.1793058490866974,1.210888147354126,890019200,1
2005-02-09,1.212983994352805,1.2272031528048828,1.1689788938952526,1.1785577535629272,1191456000,1
2005-02-10,1.1782580591893674,1.1866399697782184,1.1474251662161106,1.17287015914917,1093019200,1
2005-02-11,1.1953211759615792,1.2237601802624003,1.1815513649359284,1.2155282497406006,1201054400,1
2005-02-14,1.2382785476055536,1.2691122421650671,1.2281011692037644,1.266717553138733,1271463200,0
2005-02-15,1.2971020940283202,1.333323691469433,1.287223176783571,1.3232955932617188,2312217600,1
2005-02-16,1.3194032589630382,1.3500868604901182,1.3074288196229122,1.3490391969680786,1639243200,1
