<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,36.16201367247274,36.372852175110665,35.6508890171871,35.721168518066406,5251571,0
2005-01-04,35.72117831155083,35.77228967731259,35.05032910590228,35.18449783325195,4642294,1
2005-01-05,35.24850354936582,35.261309286175724,34.80669586257336,34.8579216003418,4681481,1
2005-01-06,34.793908198725454,34.9091626804099,34.44814754420241,34.678653717041016,4947675,0
2005-01-07,34.7554859913116,34.79390321619493,34.28166517949428,34.42253112792969,4426254,0
2005-01-10,34.35848601982816,34.67863501477095,34.33287454671735,34.492950439453125,4945619,0
2005-01-11,34.36489745561265,34.38410466919008,34.102372825113726,34.17280578613281,5982406,0
2005-01-12,34.19841989019581,34.2624513817816,33.83985358322184,34.09597396850586,7552839,1
2005-01-13,34.09598793032712,34.4929744110247,33.839867440165406,33.85907745361328,5291443,1
2005-01-14,33.935905507443024,34.02554849920307,33.737412304638774,33.756622314453125,4286645,1
2005-01-18,33.64776269557479,34.063956204100734,33.634954165593,34.03194046020508,6187821,1
2005-01-19,33.93589080146545,34.236832608650694,33.910279326498404,33.974308013916016,4532960,0
2005-01-20,33.67977220810299,33.871863861322815,33.49408481921978,33.55171203613281,5629498,1
2005-01-21,33.53251390950062,33.67978133332312,33.17394477272737,33.25078201293945,5148749,1
2005-01-24,33.32761798068912,33.92309755023465,33.033080329098105,33.67978286743164,8676797,1
2005-01-25,33.686203048086135,34.39693463317386,33.686203048086135,34.2176513671875,7493431,0
2005-01-26,33.69258896260856,34.28166706249206,33.69258896260856,33.999935150146484,3670970,1
2005-01-27,33.78863102630334,34.08957011065951,33.654166566683465,33.7950325012207,4248029,1
2005-01-28,33.87185846690163,33.90387141189896,33.468468012754215,33.80782699584961,4988118,1
2005-01-31,34.11518217480291,34.32648108022226,34.04474920632979,34.160003662109375,4856392,0
2005-02-01,35.65190125832584,37.15660493929665,35.37657088473544,36.33702087402344,31280133,1
2005-02-02,35.920828787502245,36.11292048219685,35.5622624609905,35.709529876708984,10666629,1
2005-02-03,35.536646386947595,35.66470657001884,35.33815324271363,35.47901916503906,8638638,0
2005-02-04,35.44061130780552,35.856804919814564,35.43420704122226,35.74155044555664,4301725,1
2005-02-07,35.568668975560776,35.69032771722761,35.4214015389774,35.5750732421875,3870102,1
2005-02-08,35.408596064410446,35.45341755954661,35.22931008386579,35.26132583618164,4640009,0
2005-02-09,35.26131801621147,35.54304987683842,34.992391895564886,35.06922912597656,5436193,1
2005-02-10,35.24850905310305,35.44060071630259,34.81950703613569,35.28692626953125,4662630,1
2005-02-11,35.28693570903574,35.55586187703133,35.1332640116854,35.33816146850586,5492174,1
2005-02-14,35.28691957357566,35.31893530978857,34.83230895578452,34.96036911010742,4615903,1
2005-02-15,34.992399140295205,35.08204212924667,34.83872743818561,34.89635467529297,5150006,0
2005-02-16,34.83233195330476,35.09485390820206,34.6850617019154,34.97319793701172,5774706,0
2005-02-17,34.992399140295205,35.17168511819815,34.89635467529297,34.89635467529297,4939564,0
2005-02-18,34.83232077247856,34.83872224757557,34.614617599116265,34.65943908691406,5961956,0
2005-02-22,34.59541789803859,34.80671686871587,34.37131318282304,34.43534469604492,5808637,0
2005-02-23,34.435339637402066,34.66584579575952,34.390518142837244,34.569801330566406,4664001,0
2005-02-24,34.5249815848373,34.91556652251823,34.480162878532326,34.80031204223633,5037359,1
2005-02-25,34.736275694583505,35.05642760420372,34.7170684775666,34.94757461547852,3289386,0
2005-02-28,34.83232097138968,35.037215614668646,34.544184827136775,34.672245025634766,4793671,1
2005-03-01,34.54418043644598,35.09483838283781,34.524970432427544,34.99238967895508,5004913,0
2005-03-02,34.7362741004736,35.350963617932514,34.67224539580587,35.024410247802734,5390038,0
2005-03-03,35.10765339451727,35.3061465898588,34.96038595991135,35.030818939208984,4055981,0
2005-03-04,35.28052701684551,35.498227380842195,35.165272569774594,35.18448257446289,4523592,0
2005-03-07,35.28052701684551,35.32534850076525,35.08203386700769,35.18448257446289,5116531,0
2005-03-08,35.15248201439896,35.1973035176795,34.800317046524135,34.84513854980469,6325717,0
2005-03-09,34.70426911995137,34.79390932708941,34.35210418701172,34.35210418701172,7103393,1
2005-03-10,34.28806979969416,34.68505619815352,34.095980867130656,34.59541320800781,4451617,0
2005-03-11,34.64022059136012,34.646624855417336,34.03193549867182,34.28165435791016,5017937,0
2005-03-14,34.3328857406278,34.69785632777409,34.26245277134466,34.48015594482422,4278076,0
2005-03-15,34.64022686388181,34.64022686388181,34.19841907033217,34.256046295166016,3441449,0
2005-03-16,34.063961480710915,34.12799018789107,33.61575215886034,33.73100662231445,7388438,0
2005-03-17,33.72461002744027,33.77583300483574,33.468489559401995,33.583744049072266,6914315,0
2005-03-18,33.58372777675764,33.8654595969862,33.487683345412286,33.55171203613281,13698503,1
2005-03-21,33.583729982929576,33.71179016331224,33.30840240895089,33.48128128051758,5667657,1
2005-03-22,33.42365361586433,33.60293954033625,32.72572829305194,32.77054977416992,7076545,1
2005-03-23,32.4952306816953,32.77056113802256,32.0214098096366,32.283931732177734,11756883,0
2005-03-24,32.43120339815873,32.578470847372564,32.175082940665554,32.19429016113281,6900377,1
2005-03-28,32.24553201066698,32.93065220424083,32.24553201066698,32.71295166015625,7048326,0
2005-03-29,32.7129297888418,32.840989995844545,32.50163086586674,32.59767532348633,7328573,1
2005-03-30,32.63618945389006,33.10471041704214,32.63618945389006,33.03411102294922,8321833,0
2005-03-31,33.034108732943444,33.24590969766303,32.8672379579505,32.96992874145508,6213870,0
2005-04-01,33.31009945860914,33.33577146273378,32.636196763279244,32.66828536987305,5208271,1
2005-04-04,32.796632665368605,33.02126679082861,32.48856316743047,32.92499542236328,4950074,1
2005-04-05,32.86081741510748,32.950669392411804,32.68752726319342,32.873653411865234,4513424,0
2005-04-06,32.957089805643264,33.28441472586695,32.957089805643264,33.07261657714844,3486805,0
2005-04-07,33.19455457586581,33.29724533359609,33.02768384275566,33.213809967041016,3290186,1
2005-04-08,33.213807402127685,33.27798737255131,32.9763373158769,33.07902526855469,2434480,0
2005-04-11,33.03409942262591,33.16246216654813,32.76454073722389,32.937828063964844,2605735,1
2005-04-12,32.764548762235336,33.579650008229905,32.636185986873265,33.476959228515625,5611562,0
2005-04-13,33.37429327957999,33.72729327230322,33.25234981096435,33.42564010620117,7059408,0
2005-04-14,33.40637728427285,33.50264871677949,32.79665448223141,32.80307388305664,4725466,0
2005-04-15,32.80947622453222,33.380690764689895,32.4628986587401,32.55275344848633,6332572,0
2005-04-18,32.552754938609766,32.9699319162638,32.52066354121378,32.68753433227539,6225751,1
2005-04-19,32.65545518885543,32.86083685271118,32.41156551194841,32.44365692138672,4710499,1
2005-04-20,32.315276367681726,32.405131146006795,32.10989761352539,32.10989761352539,6863818,1
2005-04-21,32.700367092725024,32.700367092725024,31.81466642989039,32.34737014770508,9234205,1
2005-04-22,32.219014253622824,32.443648466904584,31.77616242900016,31.96870803833008,5789901,1
2005-04-25,32.270347932548965,32.79021839399261,32.10989657275583,32.71319961547852,5350965,1
2005-04-26,32.443627959155044,33.08544158935547,32.28317664944644,33.08544158935547,10192620,0
2005-04-27,33.0854680388819,33.61175535666409,33.05337663243653,33.4384651184082,7436993,0
2005-04-28,33.27798827575479,33.36784303390888,33.01484619419257,33.18171691894531,6612247,0
2005-04-29,33.40636754784196,33.82354736328125,33.0597899324047,33.82354736328125,8419285,1
2005-05-02,33.71443901107104,34.14445485089311,33.71443901107104,34.04818344116211,6130812,0
2005-05-03,34.016090393066406,34.26639660568115,33.79145618218798,34.016090393066406,6341254,1
2005-05-04,33.95189494605712,34.40757976242266,33.84920418869593,34.34981918334961,5042728,1
2005-05-05,34.247145309099146,34.304908713770786,33.88772887971157,34.13161849975586,4998286,0
2005-05-06,34.272816004677104,34.33699600901791,33.96474638959376,34.016090393066406,4829773,0
2005-05-09,33.98398985923099,34.13802462537624,33.72726711373756,33.88130187988281,6307780,1
