<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,36.29484759012169,36.57484749069714,35.64385009101918,35.67885208129883,3749900,1
2005-01-04,35.804857010623955,35.804857010623955,34.91586026698458,34.98585891723633,4657900,1
2005-01-05,34.99985022001891,35.7908475826688,34.684851033983406,35.56684875488281,5336700,0
2005-01-06,35.47584970204993,35.78384743401999,35.237850604985,35.33584976196289,3076700,1
2005-01-07,35.349841092196854,35.59483892274521,35.06984128276209,35.21684265136719,1957100,0
2005-01-10,35.09083682486635,35.93083343497627,35.06983510717757,35.68583297729492,2877800,0
2005-01-11,35.7208397983548,35.769839366149505,35.433841185438915,35.5738410949707,2044100,1
2005-01-12,35.69983781293426,36.37183411913503,35.66483850599638,36.35783386230469,4126100,1
2005-01-13,36.32984973621789,36.50484900725887,35.412852594663455,35.440853118896484,4252500,1
2005-01-14,35.419852202042364,35.692853314153325,35.06985365194204,35.6368522644043,3084500,1
2005-01-18,35.34984515844118,36.37884150566049,35.31484584580493,36.31584167480469,3537400,0
2005-01-19,36.119837739596655,36.30183842274209,35.916840674932224,35.986839294433594,2723200,1
2005-01-20,35.76984957412984,36.05684826894927,35.615852032945696,35.629852294921875,2457500,1
2005-01-21,35.45483899490199,35.68583655040278,35.00683879978443,35.0488395690918,2593000,1
2005-01-24,35.23085585538908,35.41985272539202,34.66385723454907,34.74785614013672,3019300,0
2005-01-25,35.10484407655645,35.14684217975333,34.66384530105617,34.88784408569336,2954600,1
2005-01-26,34.69184929150876,35.23784604996549,34.663848773055484,34.90184783935547,3530800,0
2005-01-27,34.677856041615485,35.699851139245055,34.677856041615485,35.67885208129883,4708800,1
2005-01-28,35.678858299888624,35.68585709699823,34.67786208573824,34.9438591003418,3717100,1
2005-01-31,35.174855286514685,35.440854939841536,35.04885559126918,35.41985321044922,3894400,0
2005-02-01,35.41985522303779,35.82585485751527,35.153858224873844,35.72785568237305,2684700,1
2005-02-02,36.539841552546605,37.022838489767366,35.99384211234437,36.56084060668945,6095300,1
2005-02-03,37.06483505909021,37.06483505909021,36.35783672010411,36.39983749389648,4199200,1
2005-02-04,36.36483319088071,37.02983066476232,36.32983388599763,36.80583190917969,3324900,1
2005-02-07,36.69383493623852,36.882834413078605,36.609836058846085,36.74983596801758,3731200,1
2005-02-08,36.85484039306175,37.53383561706869,36.67283969116397,37.44983673095703,6070700,1
2005-02-09,37.62566393319966,38.08983089496959,37.52720468112928,38.06169891357422,4835300,0
2005-02-10,38.06169388945314,38.27971269226877,37.71708655269478,37.87884140014648,3634700,1
2005-02-11,37.80147602504313,38.18828128966706,37.52016164196421,38.07575607299805,2204300,1
2005-02-14,37.98432417935043,38.20937726992511,37.78037409174952,38.00542449951172,2882800,1
2005-02-15,38.15311385613258,38.55398506819874,37.98432470656195,38.27970504760742,3302200,1
2005-02-16,38.08278563101486,38.18124484789792,37.83663490599477,37.92102813720703,2767500,1
2005-02-17,38.11795569673686,38.29377652312142,37.68192079849074,37.73818206787109,4133800,1
2005-02-18,37.74521882491258,37.74521882491258,36.957542167376936,37.11929702758789,4805100,1
2005-02-22,36.81688592186618,36.95754314226836,36.61996742299114,36.676231384277344,3327100,1
2005-02-23,37.13336776000423,37.35138660786136,36.96458122466817,37.07710647583008,4072900,0
2005-02-24,37.414672411415616,37.93510055541992,37.24588323755755,37.93510055541992,3890600,1
2005-02-25,37.69597989820271,38.70167512754784,37.50609578776701,38.67354583740234,4502800,1
2005-02-28,38.61025143578848,38.71574231343055,38.4766259015041,38.659481048583984,4608600,0
