<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,4.043140572142959,4.183578653415479,4.043140572142959,4.089953422546387,3704000,0
2005-01-04,4.077634182749091,4.114591969914342,3.9741534125495153,4.030821800231934,2843200,0
2005-01-05,4.134302413260831,4.429961409778497,4.117055227268421,4.42257022857666,12164400,1
2005-01-06,4.422568884819948,4.4841645491214095,4.3116965011022685,4.36590051651001,6628400,0
2005-01-07,4.417641293984765,4.4324241224205005,4.284594428250215,4.3240156173706055,4608000,1
2005-01-10,4.188505303620031,4.3314072304754445,4.176186358349145,4.183577537536621,3788400,0
2005-01-11,4.183578911909287,4.188506679611547,4.033285756492689,4.045604705810547,2862000,0
2005-01-12,3.695740748506742,3.8066129239681694,3.624289770101033,3.720379114151001,18628000,0
2005-01-13,3.757335901260376,3.8632805297318433,3.708059411844171,3.757335901260376,4376800,1
2005-01-14,3.757336378097534,3.769655560757201,3.6242897223046384,3.6957406997680655,3806000,1
2005-01-18,3.671101532587962,3.732697197463389,3.6095058677125342,3.708059072494507,2507200,0
2005-01-19,3.7080597092480025,3.742553137121463,3.66124686432137,3.693276643753052,1841600,1
2005-01-20,3.693276550778833,3.693276550778833,3.597187449871583,3.5996510982513428,4050000,0
2005-01-21,3.607042861931308,3.629217107860804,3.4715323280838217,3.560230016708374,7144400,1
2005-01-24,3.5602298615920853,3.589795756512108,3.400081205366419,3.4247193336486816,4587600,1
2005-01-25,3.4000811440429484,3.461676816090941,3.375442781236215,3.3828341960906982,3506000,1
2005-01-26,3.3852980929472065,3.422255637305584,3.3458769002733457,3.400081157684326,2882400,1
2005-01-27,3.402545045113779,3.4468937694414787,3.289208998553936,3.3557322025299072,2001600,1
2005-01-28,3.363123730171354,3.400081275813751,3.29413664059527,3.3163111209869385,1974800,0
2005-01-31,3.316311189434299,3.3803707485615377,3.294136708584958,3.3754429817199707,1607200,1
2005-02-01,3.328630371569361,3.4345747740056423,3.2892091767122467,3.3754429817199707,1214800,1
2005-02-02,3.375442782347076,3.387761963754497,3.269498386168475,3.27688980102539,3596000,0
2005-02-03,3.276890285498665,3.301528416987301,3.267034985909436,3.2941370010375977,3137200,1
2005-02-04,3.294136469420673,3.469068185125187,3.2768897566650628,3.464140653610229,3363600,0
2005-02-07,3.4641407174839363,3.483851313844879,3.343413021062107,3.3557322025299072,912400,1
2005-02-08,3.395153788668606,3.481387833966819,3.3902262564918093,3.44689416885376,1408000,0
2005-02-09,3.4518218003176,3.4616770992526784,3.230077221825036,3.2670347690582275,1237600,0
2005-02-10,3.301528273117679,3.301528273117679,3.1931199823602268,3.220221996307373,1188800,1
2005-02-11,3.2152943163257244,3.3409495510599583,3.212830432906891,3.313847303390503,1364400,1
2005-02-14,3.3261663454682164,3.387762018532442,3.313847163861602,3.363123655319214,1183600,1
2005-02-15,3.400080965522561,3.589795503285666,3.3976170823774847,3.5134170055389404,3428000,0
2005-02-16,3.5134170626126564,3.5208084771991253,3.3310939363542014,3.449357509613037,1552000,1
2005-02-17,3.4493580351658264,3.5479110278973023,3.4050090709522274,3.47399640083313,4304800,0
2005-02-18,3.695740564588356,4.121982530252495,3.695740564588356,3.9298040866851807,19785600,1
2005-02-22,3.905165813497641,3.961833720617157,3.774582815844338,3.917484760284424,7933200,1
2005-02-23,3.81893187746764,3.917484864188941,3.81893187746764,3.8608169555664062,4740800,1
2005-02-24,3.860817692642324,4.048068638130077,3.794294237678688,3.991400718688965,6050800,0
2005-02-25,3.991400338270011,4.156476783036508,3.991400338270011,4.057923316955566,5158800,0
2005-02-28,4.028357775163411,4.065315091094902,3.9076300575181806,3.95690655708313,3198400,0
2005-03-01,3.9914004820208326,4.087489597978884,3.932268447236394,4.070242881774902,2118800,0
2005-03-02,4.131838337529609,4.186042366887727,4.09488102342463,4.166331768035889,3010800,0
2005-03-03,4.176187907994938,4.178651322013096,4.082562197419289,4.144157886505127,1974800,1
2005-03-04,4.144157454108728,4.144157454108728,4.003719372836208,4.089953422546387,1892000,0
2005-03-07,4.040676061121575,4.097343967585011,4.023429347844677,4.060386657714844,1562000,0
2005-03-08,4.06531434081727,4.144156725570364,4.020965381909235,4.134301662445068,1672400,0
2005-03-09,4.1343021405301,4.146621088345687,3.981544649953053,4.011110782623291,1698400,1
2005-03-10,3.966761351315714,3.966761351315714,3.572548958463265,3.816467761993408,3472000,1
2005-03-11,3.836178531673912,3.841106298417681,3.767191442043103,3.818931818008423,1118400,1
2005-03-14,3.769655297716528,3.868208282179257,3.769655297716528,3.828787088394165,1256800,0
2005-03-15,3.794293798574891,3.843570530609241,3.695740804443935,3.762264251708984,1733600,1
2005-03-16,3.762263998331118,3.853425570504996,3.6193618140119823,3.6834213733673096,3684400,0
2005-03-17,3.772119208786872,3.8706721939737423,3.772119208786872,3.818931818008423,3504800,0
2005-03-18,3.85588930069676,3.858353184178542,3.69574063388272,3.698204517364502,3011600,0
2005-03-21,3.695740345943801,3.811540275907983,3.685885047753371,3.779510498046875,2294400,1
2005-03-22,3.774583142618181,3.8140043396739007,3.683421565684613,3.720379114151001,1382000,0
2005-03-23,3.70313226135122,3.7154514444965,3.597187850227109,3.646464347839356,1624000,1
2005-03-24,3.387761950658448,3.653855234167204,3.3754427692986484,3.621825456619263,4046400,1
2005-03-28,3.609506335289948,3.643999996677288,3.547910662435383,3.55776596069336,1988400,0
2005-03-29,3.56762113024397,3.6341445673120094,3.488778747024517,3.5183446407318115,1746000,1
2005-03-30,3.5134173138330254,3.582404403166806,3.439502457776692,3.572549104690552,2360000,0
2005-03-31,3.597187540426863,3.7499447873533662,3.597187540426863,3.693276643753052,2521200,1
2005-04-01,3.5848685257687976,3.70313211537632,3.5848685257687976,3.6957406997680655,2260400,1
2005-04-04,3.6513915936896457,3.700668322405348,3.6242895808710953,3.6834213733673096,1199200,0
2005-04-05,3.6957404006057017,3.818931747292559,3.6957404006057017,3.759799957275391,2964000,0
2005-04-06,3.745017301509413,3.8041490979879855,3.690813037252951,3.762264251708984,2789600,1
2005-04-07,3.7400895868538,3.848497875109929,3.708059806581365,3.8041489124298096,1476400,1
2005-04-08,3.786901778023199,3.789365661225231,3.754872001303287,3.784437894821167,1547200,1
2005-04-11,3.762263747166129,3.8041485878281134,3.7597998639010592,3.772119045257568,832400,1
2005-04-12,3.8164675495243614,3.868207920268664,3.7253059886832265,3.850961208343506,4554400,1
2005-04-13,3.892846770418773,4.035748484980666,3.781974600606136,3.806612730026245,5777200,0
2005-04-14,3.7622639121109582,3.769655327261381,3.64892786160612,3.712987184524536,3149600,0
2005-04-15,3.683421508371679,3.7055959901127102,3.540519553783773,3.555302619934082,3368800,1
2005-04-18,3.560229881649628,3.688348995327032,3.5109533898386447,3.6711020469665527,1922400,0
2005-04-19,3.5479111489714605,3.644000496390396,3.5109538341781885,3.575013399124145,3828800,1
2005-04-20,3.547910662435383,3.5922596220807,3.523272534274864,3.55776596069336,2084000,1
2005-04-21,3.557766386963321,3.742553427667076,3.555302738330281,3.717915296554565,4069600,0
2005-04-22,3.717914588836195,3.717914588836195,3.555302061565788,3.5848679542541504,3360000,1
2005-04-25,3.584868030198745,3.607042508926984,3.400081020755189,3.449357509613037,4261600,0
2005-04-26,3.449358006214988,3.555302648738771,3.3508050143106773,3.54544734954834,3872800,0
2005-04-27,3.542983149194916,3.636608600616455,3.501098072638732,3.636608600616455,1897200,0
2005-04-28,3.636608729260905,3.6390726126675688,3.5503746897785167,3.570085287094116,1384000,0
2005-04-29,3.570085451115526,3.619361946668448,3.5232728390824666,3.555302619934082,1490000,1
2005-05-02,3.5676216547939217,3.5676216547939217,3.471532544859372,3.5257368087768555,1483600,1
2005-05-03,3.510953495147318,3.624289547196442,3.481387599173919,3.570085287094116,1642000,1
2005-05-04,3.5848686538423533,3.69820471541639,3.570085587128838,3.6908130645751953,1402800,1
2005-05-05,3.683421451442672,3.720378998762816,3.621825774211293,3.698204517364502,2910800,0
2005-05-06,3.695740514730633,3.8189318652216544,3.678493800851924,3.7819745540618896,3101600,0
2005-05-09,3.732697936427873,3.818931978312803,3.7277704044461153,3.8041489124298096,3662800,1
2005-05-10,3.759800026896301,3.868208310601858,3.7548722601525313,3.818931818008423,2954000,0
2005-05-11,3.806612603804812,3.860816862681895,3.767191410064697,3.767191410064697,2080400,1
2005-05-12,3.7573362026164143,3.8140041112478738,3.680957461668735,3.693276643753052,1806000,1
2005-05-13,3.695740546366933,3.727770325965043,3.5848683769696965,3.6661746501922607,3694800,0
2005-05-16,3.6637106546935208,3.740089393701592,3.641536174498634,3.7055957317352295,1796400,0
2005-05-17,3.663710583257575,3.880527379313915,3.6316808052638017,3.858352899551392,3041200,0
2005-05-18,3.843570300190713,3.9642977695058494,3.796757454558242,3.9027020931243896,4379600,0
2005-05-19,4.262420848333708,4.459527305385777,4.250101900365715,4.360974311828613,20659200,1
2005-05-20,4.287059179786099,4.577790860898718,4.272276348355653,4.55561637878418,10856000,0
2005-05-23,4.434888293640048,4.794606785220769,4.370828739672727,4.73793888092041,9897200,0
2005-05-24,4.742867045395383,4.86359451379474,4.713300914183961,4.829101085662842,7348400,1
2005-05-25,4.90301588413845,4.939973197021201,4.804462893138539,4.893160820007324,7942000,1
2005-05-26,4.925189926286024,5.008960078643956,4.841419773928092,4.962147235870361,6382800,1
2005-05-27,4.976930979841681,4.989249927490022,4.890696936490111,4.893160820007324,6084400,1
2005-05-31,4.903015262619285,5.008959890741018,4.858666304806683,4.986785411834717,6211600,1
2005-06-01,4.952292041608108,4.999104883143289,4.922725912760185,4.967074871063232,4614000,1
2005-06-02,4.964611832893289,5.174037243895665,4.952292884573402,5.164181709289551,5700000,0
2005-06-03,5.124760873672808,5.129688641324846,5.004033385824599,5.063165187835693,4089600,1
2005-06-06,5.073019843432433,5.075483726831192,4.954756259918213,4.954756259918213,3219600,1
2005-06-07,4.792143257616565,4.920261892557185,4.742866534221021,4.866057872772217,5886000,1
2005-06-08,4.890696394278495,4.920262053331779,4.861130265287533,4.895624160766602,2114000,1
2005-06-09,4.9128699709856605,4.967073982583889,4.829099835828113,4.9646100997924805,3357600,0
2005-06-10,4.94490032091817,4.94736420411493,4.841419576342615,4.863594055175781,1685600,0
2005-06-13,4.841420349223286,5.045917987823486,4.841420349223286,5.045917987823486,3239600,0
2005-06-14,5.045917667713013,5.080411565848282,4.957220213785341,5.075483798980713,1858800,0
2005-06-15,5.070555606380862,5.080411139288513,4.853739051726958,4.949828147888184,2855600,1
2005-06-16,4.976930695559702,4.981857992374953,4.801998735331448,4.885768890380859,2862400,1
2005-06-17,4.885769313969456,5.090266952569655,4.82910140121057,5.045917987823486,3776800,0
2005-06-20,5.048381254544796,5.149398119706458,4.999104998577321,5.139543056488037,2110800,0
2005-06-21,5.166645621243175,5.415492232157641,4.84881214745903,4.935046195983887,8760400,0
2005-06-22,4.996640967927336,5.023742743431971,4.745330519110501,4.915334701538086,4431200,0
2005-06-23,4.878377315168349,4.92519016016491,4.843883887243361,4.900551795959473,2464000,1
2005-06-24,4.912870426827279,5.171572034740239,4.912870426827279,5.124759197235107,12199600,1
2005-06-27,5.124759581744622,5.124759581744622,4.937509157550014,4.986785411834717,7736400,0
2005-06-28,4.974466535104035,5.090266227722168,4.900551447739922,5.090266227722168,4139200,1
2005-06-29,5.149397839006935,5.24302351913556,5.092729936261413,5.132151126861572,4962400,1
2005-06-30,5.119833085713015,5.196211597254893,5.0262073890404935,5.045917987823486,4297200,0
2005-07-01,5.033598770268509,5.045917717621562,4.631994695405985,4.809390544891357,5656000,1
2005-07-05,4.809390676749899,4.836492455657208,4.713301098998272,4.804462909698486,6880400,1
2005-07-06,4.777360529873068,4.82663725916072,4.765041582520015,4.809390544891357,3658400,0
2005-07-07,4.718228258439878,4.804462290983527,4.703445429127092,4.79214334487915,6946800,0
2005-07-08,4.769969480214058,4.824173507966407,4.723156633101098,4.804462909698486,6387200,0
2005-07-11,4.816781361343235,4.878377033329403,4.804462414921074,4.875913619995117,4710800,1
2005-07-12,4.875913836237679,4.925190094049363,4.824173225107051,4.903015613555908,4561200,1
2005-07-13,4.927654036556382,5.144470607392271,4.903015672386058,5.112441062927246,4113200,0
2005-07-14,5.223313095205992,5.661873972505834,5.208529795792664,5.585495471954346,12190800,0
2005-07-15,5.49679810652081,5.7086873866529615,5.420419598309018,5.617525577545166,5727200,0
2005-07-18,5.61752465541333,5.61752465541333,5.435201537064295,5.47462272644043,6055200,1
2005-07-19,5.494333847076218,5.681584749506364,5.494333847076218,5.649555206298828,3966400,0
2005-07-20,5.605206727981567,5.716079136949702,5.482015371322632,5.666802406311035,2952800,1
2005-07-21,5.661874473980457,5.661874473980457,5.506653575893946,5.619989395141602,5056400,0
2005-07-22,5.644628282935126,5.644628282935126,5.400709437654814,5.565785884857178,4337200,0
2005-07-25,5.565784357897795,5.568248240903991,5.48201421543767,5.533754348754883,1622400,1
2005-07-26,5.528828707777112,5.587960507814468,5.413028521508407,5.578104972839356,1981600,1
2005-07-27,5.592887722488767,5.5978150195515255,5.462304716602276,5.563321590423584,2066000,1
2005-07-28,5.583032090055235,5.932895551979987,5.570713142708939,5.866372108459473,9069600,1
2005-07-29,5.863908048871785,5.8959380629104325,5.765355063248454,5.80231237411499,3360400,0
2005-08-01,5.799848710514544,5.959997363987241,5.794920943961492,5.935359001159668,4740000,0
2005-08-02,5.666801958792232,5.82448673248291,5.605206285327099,5.82448673248291,6251600,1
2005-08-03,5.802312353218129,5.876227444622702,5.7653550424846935,5.873763561248779,2528000,0
2005-08-04,5.861444171607781,5.863907584857943,5.757963427407339,5.819559097290039,3007600,0
2005-08-05,5.814631407045623,5.83680588608874,5.794920811222594,5.834342002868652,4790800,0
2005-08-08,5.789992636522285,5.861443835053692,5.733324736269015,5.831877708435059,2375600,0
2005-08-09,5.846661440941932,6.021593404784728,5.846661440941932,5.974780559539795,6002800,0
2005-08-10,5.97970749054476,6.196524032533158,5.97231584129581,6.0413031578063965,7277200,1
2005-08-11,6.036375844987273,6.0486947913897255,5.858980479128478,5.90086555480957,4021600,1
2005-08-12,5.903329384123799,5.905793267565445,5.669266096419934,5.797385215759277,3632400,0
2005-08-15,5.666802423831831,5.691440789227342,5.4352025410144,5.454913139343262,10999600,0
2005-08-16,5.454912708766793,5.531291682457775,5.260270624375316,5.41795539855957,7941200,1
2005-08-17,5.440129914598224,5.489406641825076,5.3982448374367085,5.469696044921875,5754800,0
2005-08-18,4.804463146588381,5.08533930323962,4.757650297167256,5.006496906280518,37466800,0
2005-08-19,5.001569023077318,5.122296969303108,5.001569023077318,5.045917987823486,6476000,1
2005-08-22,5.048381071295912,5.070555550154564,4.947364209801016,4.969538688659668,5842000,0
