<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,12.498016215953172,12.620293751811198,12.401481836065782,12.433659553527834,56725600,1
2005-01-04,12.47227193534727,12.478707723759609,11.93167921122333,11.944549560546877,106241900,0
2005-01-05,11.886626403256658,12.150487539843503,11.873756056411631,11.950983047485352,66100500,0
2005-01-06,12.015346611809992,12.137624183518737,11.944554139636258,12.13118839263916,63790900,0
2005-01-07,12.1762339605577,12.21484746647086,11.98316520349068,12.047520637512203,54415000,0
2005-01-10,12.008907131599043,12.124748876839748,11.970293625685883,12.047520637512203,47183300,0
2005-01-11,11.944553340797906,12.047523532981392,11.88019666380785,11.996038436889648,53236100,1
2005-01-12,12.073264629345688,12.208412523153031,12.041085682604912,12.18267059326172,65081900,0
2005-01-13,12.1762373399176,12.22128664723602,11.989603092453793,12.086138725280762,56893000,1
2005-01-14,12.144056199425425,12.208411633213135,12.086135327015512,12.150490760803224,51197100,1
2005-01-18,12.066827214567663,12.099004929472722,11.98959898029393,12.060391426086426,51416900,0
2005-01-19,12.00890769615135,12.021779274561252,11.65494788238802,11.680689811706545,72873000,1
2005-01-20,11.63563725314268,11.860884902170795,11.526231322329078,11.79009246826172,83539400,1
2005-01-21,11.783659230792535,11.899500974074687,11.58415468819616,11.590590476989746,56209900,1
2005-01-24,11.680686036268192,11.71286497189205,11.391082980658762,11.423260688781738,80477000,1
2005-01-25,11.51979798947792,11.57128307215431,11.204451704647376,11.268808364868164,76495900,1
2005-01-26,11.455438573848951,11.494053297194036,11.294547575747137,11.384647369384766,73530300,1
2005-01-27,11.436132937056508,11.725736009734623,11.410389787040163,11.699994087219238,76947600,1
2005-01-28,11.757915612581376,11.835142611998412,11.4876186596197,11.51979637145996,77990000,1
2005-01-31,11.680684036404289,11.777218371746338,11.57127812901645,11.609892845153809,51573700,0
2005-02-01,11.642072334219796,11.7450424713853,11.584151478626596,11.667814254760742,55135300,1
2005-02-02,11.72573910863992,11.777224194778244,11.616333147158317,11.680689811706545,57884400,0
2005-02-03,11.609894452654713,11.642072159723815,11.262369324304348,11.275240898132324,86470500,0
2005-02-04,11.313856069679831,11.532667947196476,11.313856069679831,11.51979637145996,75320600,0
2005-02-07,11.584153146652636,11.712866450393635,11.519796494782137,11.68712329864502,62682700,0
2005-02-08,11.732172572361243,11.860885875944888,11.687123284357275,11.73860836029053,112368000,0
2005-02-09,11.783659796292335,11.790095585394775,11.262373154007213,11.346035957336426,116920500,1
2005-02-10,11.410394335616504,11.429701705825345,11.268810636589349,11.313859939575195,81179800,0
