<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,25.637601482404488,25.77476445925415,25.60181894607576,25.703199386596683,7294600,1
2005-01-04,25.78669922219545,25.80458935792009,25.36328038553756,25.375207901000977,6899600,0
2005-01-05,25.345383243616467,25.792654712621463,25.11876506233731,25.14262008666992,6868300,1
2005-01-06,25.142603720576787,25.243986370527143,24.558169654495853,24.766895294189453,8912200,0
2005-01-07,24.82654885109336,24.844438981782247,24.45680280062736,24.701311111450195,7015500,0
2005-01-10,24.59993030876507,25.077019411280336,24.59993030876507,24.927928924560547,6102200,0
2005-01-11,24.796726916475333,24.95177999713647,24.796726916475333,24.874252319335938,4569700,0
2005-01-12,24.83847855381673,25.19629484879381,24.63571538001225,25.16647720336914,6468700,0
2005-01-13,25.07702418440961,25.16647940344439,24.689390210120568,24.88618850708008,8269600,0
2005-01-14,24.92792653298358,25.047199365904472,24.88618138270228,24.98756408691406,4186200,1
2005-01-18,24.754983903556127,25.19033013533515,24.74902128494314,25.14262008666992,7041700,0
2005-01-19,25.03527425699402,25.178402125218746,24.91600141263013,24.927928924560547,4310700,1
2005-01-20,24.933899248936488,24.933899248936488,24.367354821012192,24.54030036926269,6664100,0
2005-01-21,24.540289565495705,24.683415126944368,24.36734409338377,24.39119911193848,6068200,1
2005-01-24,24.51047934521083,24.516444239677657,24.045317674188297,24.08706283569336,6174100,0
2005-01-25,24.14670253885082,24.379283394908985,24.13477502380413,24.19441032409668,5137100,0
2005-01-26,24.34348855584389,24.34348855584389,24.164580470377363,24.28981590270996,5664000,0
2005-01-27,24.16458708151446,24.486623088423187,24.158622187901138,24.248077392578125,5813200,1
2005-01-28,24.30175074403589,24.343495900742063,24.02145988477405,24.0989875793457,5598400,1
2005-01-31,24.21228776886941,24.653596494531183,24.21228776886941,24.605886459350582,6341200,0
2005-02-01,24.57010526365776,24.63570542204018,24.43890494689293,24.53432273864746,5558000,1
2005-02-02,24.49854362081244,24.65955930345135,24.46276109414839,24.62974166870117,3586000,0
2005-02-03,24.570106809519327,24.820577675531336,24.540289174271194,24.790760040283203,4831700,0
2005-02-04,24.719199012417253,25.30363334946742,24.719199012417253,25.29766845703125,7180200,1
2005-02-07,25.2082283407492,25.357318878173828,25.20226344528522,25.357318878173828,5391700,1
2005-02-08,25.226114976573868,25.40502314166772,25.053169431175487,25.077024459838867,5564200,0
2005-02-09,25.136654370250863,25.21417977736723,24.89810870620343,24.96370887756348,4155100,0
2005-02-10,25.047207082426365,25.31557047044052,24.856371400936474,25.267860412597656,4434300,0
2005-02-11,25.190328254939743,25.63759969055704,25.04720039456853,25.530254364013675,6385200,1
2005-02-14,25.51236614941893,25.58393122882745,25.375203159630075,25.416948318481445,3449000,0
2005-02-15,25.28574380687657,25.5541048242738,25.273816296668265,25.482542037963867,5477900,0
2005-02-16,25.363278253342603,25.48255112300897,25.14262492317131,25.267860412597656,5560500,0
2005-02-17,25.202246541758555,25.3155567301647,24.75497522947628,24.933885574340817,6916600,0
2005-02-18,24.93984927545448,25.184357512471102,24.89214151637153,25.05912208557129,5879400,1
2005-02-22,24.65956083546593,24.71919838361108,23.91410854570045,24.021453857421875,14330000,0
2005-02-23,24.093021347924388,24.212291906378013,23.63382241806969,23.705385208129883,12444500,0
2005-02-24,23.65171032032441,23.72327310364782,23.18654881631245,23.62785530090332,15068200,0
2005-02-25,23.7113481233381,24.218257102881264,23.627857821397843,24.20036697387696,9844600,1
2005-02-28,24.003560789182885,24.2421064026537,23.86639785766602,23.86639785766602,8184700,0
2005-03-01,23.884307861328125,23.96183559147332,23.759072333745376,23.884307861328125,9299200,0
2005-03-02,23.76502068676389,23.9677838227525,23.723275535966835,23.842548370361325,7257100,1
2005-03-03,23.84851417666104,23.943931992842973,23.67556867391247,23.68749618530273,6993800,1
2005-03-04,23.824657512848752,23.94393034359576,23.67556704315,23.90814781188965,5639700,0
2005-03-07,23.860438617047752,24.01549398500785,23.72924054601241,23.78291320800781,6808200,0
2005-03-08,23.884551674716167,23.99814446398004,23.824764195635872,23.896509170532227,5578000,1
2005-03-09,23.81878568448035,23.854658170567685,23.60355532927441,23.60953521728516,7951000,1
2005-03-10,23.56170742285712,23.84868049621582,23.56170742285712,23.84868049621582,5574900,0
2005-03-11,23.79486625977183,23.914438910455832,23.53180825279392,23.56767845153809,5837300,0
2005-03-14,23.67530026228029,23.717150359681543,23.17309681280602,23.597579956054688,8673000,1
