<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,49.931275988430826,49.99686210734094,49.063518087344505,49.31577301025391,5538779,0
2005-01-04,49.3107263765867,49.65379531347035,48.69522744775102,48.78603744506837,5973706,1
2005-01-05,48.73556376476166,49.35611121717628,48.63466426041814,48.685111999511726,5906448,0
2005-01-06,48.70534422619419,48.927326580478365,48.458133950772,48.533809661865234,4771538,0
2005-01-07,48.685139657983065,48.836495039719246,48.1654954408537,48.32189559936523,6485932,0
2005-01-10,48.32187893105007,48.47827500945515,48.04944497452134,48.271427154541016,4837855,1
2005-01-11,48.27143632781629,48.32693288990682,47.782060847147214,47.92837142944336,4964734,1
2005-01-12,47.92836888549842,48.06963065814479,47.45412775798275,48.0343132019043,6096716,1
2005-01-13,48.12513152026039,48.53378254755955,47.27251200626379,47.6508903503418,5585012,0
2005-01-14,47.42889338687398,47.54997602982938,47.1968176501833,47.47430038452149,5774757,1
2005-01-18,47.24729605883824,48.09991578865687,47.23216172647583,47.87793350219726,8882737,0
2005-01-19,47.90313498578371,48.00403853999352,46.88402599812525,46.96979522705078,7690924,0
2005-01-20,46.72259893455713,47.34314671596167,46.71755415797323,46.91935729980469,5971196,0
2005-01-21,46.91935218360688,47.07070351693714,46.530880272055576,46.6065559387207,7324720,1
2005-01-24,46.76799403163344,46.84366968726528,46.29375294433439,46.30889129638672,6838016,1
2005-01-25,46.40473665491955,46.71248801657413,46.389602332089815,46.510684967041016,5303952,1
2005-01-26,46.566216303494606,46.853784756751054,46.38459221536228,46.3896369934082,5598192,1
2005-01-27,46.16257789055016,46.52582584659504,46.13230924062503,46.40474319458008,4965257,1
2005-01-28,46.75790533054619,47.217008074134,46.6570017704322,46.863849639892585,6234788,0
2005-01-31,47.24729020821293,47.39864559157228,46.94458346765289,47.13125228881835,4978855,0
2005-02-01,47.25739737777632,47.42388715368557,47.10604596415713,47.35325622558594,3804720,1
2005-02-02,47.312858540785385,47.60043084271328,47.23718289064346,47.57520294189453,3762880,1
2005-02-03,47.35826592823288,47.3935793530476,46.94961499843369,47.191776275634766,4109420,0
2005-02-04,46.92441405200939,47.79721698999167,46.919369274138006,47.68117904663085,3982750,1
2005-02-07,47.60044366271308,47.87792246335121,47.59035008397282,47.691253662109375,2968339,0
2005-02-08,47.62049448005853,47.837845832115605,47.580055236816406,47.580055236816406,3703991,1
2005-02-09,47.58511702399019,47.93389092842001,46.77636027049332,46.85723876953125,5917327,0
2005-02-10,46.983603496083184,47.05942355385011,46.65504722319981,46.8875617980957,5060966,0
2005-02-11,46.85721944488037,47.49916856743203,46.75612337969672,47.16049957275391,4423848,1
2005-02-14,47.089754265316365,47.52446107909021,47.089754265316365,47.297000885009766,3000765,1
2005-02-15,47.26161657986345,47.85301793187704,47.25150777563355,47.68115615844727,4338808,0
2005-02-16,47.63059835920196,48.00464821054987,47.61543112340406,47.82773208618165,4671959,0
2005-02-17,47.76706652409969,47.89848898476018,47.38290794157846,47.38796234130859,4449893,0
2005-02-18,47.38796347935031,47.64069960728061,46.95831125510108,47.14533615112305,4461504,0
2005-02-22,46.84208093399921,47.261624617776434,46.619675101594765,46.66516876220703,5047055,0
2005-02-23,46.649989139136586,46.725809190918405,46.27593924758388,46.55394744873047,5881449,1
2005-02-24,46.49327847693448,47.05435316795752,46.42756724467981,46.82688903808594,4344979,0
2005-02-25,46.68029674170408,46.90775680541992,46.64997034674387,46.90775680541992,4266111,1
2005-02-28,46.77128616183458,46.88754542560642,46.71062933003357,46.79656219482422,5177491,1
2005-03-01,46.8268890117898,47.22621080497167,46.80161701241322,47.16049957275391,3995615,1
2005-03-02,46.88250452443386,47.37786812113007,46.88250452443386,46.96843338012695,4672900,0
2005-03-03,47.08465137670504,47.114981791653214,46.6044554389127,46.71060180664063,4223539,1
2005-03-04,46.97852389016252,47.09983349720206,46.68534858573574,46.69040298461914,4972684,0
2005-03-07,46.68030122847148,46.76117565664353,46.2961426523561,46.30119705200195,7371057,0
2005-03-08,46.35171395367468,46.7864202681494,46.35171395367468,46.56906509399414,5321839,0
2005-03-09,46.51350577806442,47.00886934015393,46.50845137713204,46.68031311035156,4718715,0
2005-03-10,46.68027542552873,46.9077353853768,46.54885303970461,46.71060180664063,3579935,0
2005-03-11,46.62976812778568,46.71064258185158,46.0990237243335,46.25571823120117,4701038,1
2005-03-14,46.25065839875776,46.523616204166615,46.25065839875776,46.45284652709961,4116533,0
2005-03-15,46.503406979919774,46.63988390213174,46.09903061530354,46.19001388549805,3831603,1
2005-03-16,45.86650783305135,46.20012253917773,45.61883005499757,45.82101821899415,5298304,0
2005-03-17,45.740097103719066,45.83613871157973,45.340775549392966,45.42164993286133,5817957,1
2005-03-18,45.4216693555163,45.441890985407525,45.032456428463775,45.12849807739258,7888409,1
2005-03-21,45.19926879057022,45.633975391564206,45.12344876298907,45.2447624206543,4604910,1
2005-03-22,45.29530634209736,45.6643017140699,45.11839428931135,45.23970794677735,4657315,0
2005-03-23,45.477282618614986,46.08385098317529,45.40146258150469,45.75529479980469,5723817,1
2005-03-24,45.89681572481765,46.275919858728045,45.84626770019532,45.84626770019532,4787647,0
2005-03-28,45.851350584253645,46.31638382523553,45.805856930446986,46.018157958984375,4276989,0
2005-03-29,45.866496228623085,46.033303539483285,45.58343367741198,45.79573059082031,6349638,0
2005-03-30,45.6542110820148,45.93727370618175,45.6542110820148,45.836181640625,5495579,0
2005-03-31,45.724980662805336,46.205181125397466,45.60366694665239,46.19001388549805,4621856,1
2005-04-01,46.24559948340568,46.38207635586702,45.51266708548836,45.7148551940918,5984375,0
2005-04-04,45.53287260902676,45.80582628155104,45.37617817741849,45.6541862487793,3909739,0
2005-04-05,45.60870365166673,45.65925168609031,45.11839860912291,45.27509307861328,4778546,0
2005-04-06,45.01226389146008,45.1790712532775,44.84040212781549,44.98699188232422,8197293,0
2005-04-07,44.986981246936985,45.08807329342147,44.532056953158566,44.703914642333984,6648062,1
2005-04-08,44.62305070035948,44.71403800083249,44.22878315521708,44.27933120727539,5417443,0
2005-04-11,44.15292825535494,44.25907464369874,43.51603378994392,43.57163619995117,8678139,1
2005-04-12,43.4200201845497,43.59188192331613,43.051028735378935,43.344200134277344,8817466,0
2005-04-13,43.349232352852944,43.45538278921911,42.580915373419536,42.747722625732415,7416872,0
2005-04-14,42.717398411250855,43.17232253711215,42.19170463498114,42.27763748168945,10900575,0
