<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,34.59578627033987,34.70500779859902,34.23535668534385,34.350040435791016,7859500,0
2005-01-04,34.45926666940062,34.53572321250335,34.197136199874606,34.24082565307617,6989600,1
2005-01-05,34.33365290983221,34.45379678894289,34.180744033311136,34.218971252441406,6888100,0
2005-01-06,34.268111176692656,34.453787081536866,34.235344105287226,34.3172607421875,5277500,0
2005-01-07,34.39373177536162,34.404654137773626,34.16982855398458,34.191673278808594,5037800,1
2005-01-10,34.25718539567545,34.52477791067503,34.18619112300595,34.45924377441406,5419300,1
2005-01-11,34.32273056088449,34.45925693874516,34.20258876496158,34.339115142822266,4880000,1
2005-01-12,34.37734066294281,34.62854868581655,34.16981999554719,34.57939910888672,6093800,0
2005-01-13,34.4865561678834,34.56301058906978,33.79300207347921,33.8421516418457,9014700,1
2005-01-14,34.10429923666297,34.26813051971325,33.97869518355016,34.24082565307617,6820200,1
2005-01-18,33.98414039850285,34.437408901878506,33.98414039850285,34.421024322509766,6122900,0
2005-01-19,34.42103620173024,34.557562605301406,34.21351756822593,34.30635452270508,4697100,1
2005-01-20,34.30634285855359,34.37187492668313,34.07697957848675,34.126129150390625,5274600,1
2005-01-21,34.0551377308823,34.18074174005862,33.7766227722168,33.7766227722168,6426300,0
2005-01-24,33.77662860352784,33.820318048989456,33.42166123367557,33.58003234863281,5938600,1
2005-01-25,33.80393947820909,34.868843794786734,33.80393947820909,34.7978515625,11172300,0
2005-01-26,34.53571634552123,35.48594093143742,34.262663566987854,35.30572509765625,12781800,1
2005-01-27,35.152812807607944,35.30572168216138,35.05451365018725,35.07089614868164,6360100,0
2005-01-28,35.15826884486209,35.393094364863806,35.09273885464568,35.289337158203125,6968700,0
2005-01-31,35.45862916557543,35.47501166342709,35.14188698559606,35.33302307128906,6168900,0
2005-02-01,35.28386754079684,35.72621154785156,35.234715891983406,35.72621154785156,7340300,0
