<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,22.341865941447345,22.460705137179744,22.07589065302233,22.155118942260746,14957900,0
2005-01-04,22.25214627807696,22.297816172075137,21.875378363233622,21.926755905151367,11360900,0
2005-01-05,22.03522977440217,22.21790508740555,21.91534950855523,21.972436904907227,9770200,0
2005-01-06,22.132284446615014,22.252164751391923,22.05807189608836,22.098031997680664,9115900,0
2005-01-07,22.086620107170543,22.18937530232963,21.915362174459656,21.921072006225582,9971200,0
2005-01-10,21.846843719482425,21.983849096019306,21.721253642939285,21.846843719482425,9284500,0
2005-01-11,21.74980584759307,21.83543587896761,21.63563537597656,21.63563537597656,8966300,0
2005-01-12,21.692713647387635,21.70983877709969,21.447243292427963,21.68700599670409,9075900,0
2005-01-13,21.69270477788554,21.90963243540936,21.52715466615262,21.5614070892334,9646600,1
2005-01-14,21.567118378500624,21.681290963717046,21.492908049121745,21.58424568176269,7346500,1
2005-01-18,21.527176365561505,21.972449603805128,21.41871351629925,21.921072006225582,9729100,0
2005-01-19,21.698422799146403,21.949602999827466,21.59566983610424,21.601377487182617,15845900,0
2005-01-20,21.578537514407483,21.595664818986823,21.184644351660232,21.26456451416016,15240300,0
2005-01-21,21.264573464033045,21.401581070026293,21.03622817993164,21.03622817993164,14174400,1
2005-01-24,21.041936782000576,21.24744709016839,20.98484937547513,21.053354263305664,12870700,1
2005-01-25,21.116139843989444,21.241727726653394,21.02480221220616,21.041927337646484,9986100,0
2005-01-26,21.007679669336152,21.12185227935141,20.98484471180081,21.02480697631836,14555600,0
2005-01-27,20.90492299562229,21.064765508914267,20.842127955864147,20.979135513305664,9791100,1
2005-01-28,21.053346375554856,21.1218490600586,20.91063117920311,21.1218490600586,15282000,0
2005-01-31,21.281695002933144,21.35019988318789,21.25886222050988,21.31023979187012,14111800,0
2005-02-01,21.40728187561035,21.48720204618682,21.29310927007484,21.40728187561035,14015400,0
2005-02-02,21.40728559891814,21.43012055952913,21.33878289474688,21.41870307922364,13147400,0
2005-02-03,21.3901580600031,21.42440831940329,21.3216531858798,21.3444881439209,10737700,0
2005-02-04,21.37303373647236,21.544293768028297,21.35020095290509,21.515748977661133,10662400,0
2005-02-07,21.52146726946852,21.732685299737746,21.46437984394804,21.675600051879883,9438000,0
2005-02-08,21.647049424805896,21.68701170074721,21.51575164793654,21.55571174621582,7579200,0
2005-02-09,21.47007691753796,21.54428943778524,21.378739268641805,21.40728187561035,7084500,1
2005-02-10,21.44153535565725,21.49862057237676,21.344487874040382,21.378740310668945,8872600,0
2005-02-11,21.293105562672217,21.45294805365585,21.20176792967912,21.39586067199707,10676700,0
2005-02-14,21.447241960898587,21.447241960898587,21.27598414142597,21.40728187561035,6686000,0
2005-02-15,21.504333783254392,21.55000371056779,21.378745838466536,21.43583106994629,8145300,0
2005-02-16,21.31594744306052,21.36732501442076,21.2246097803825,21.31023979187012,9579800,0
2005-02-17,21.28169782464697,21.3330754028193,20.996267318725582,20.996267318725582,12155800,0
2005-02-18,20.92205301686066,20.98484588710758,20.72225039372817,20.842130661010746,17789700,0
2005-02-22,20.84213222890913,20.91063711050535,20.493908880272613,20.51103401184082,14882000,0
2005-02-23,20.653750533017227,20.882095797214124,20.550995381894808,20.825008392333984,12550200,0
2005-02-24,20.8478427068357,21.05906065417805,20.807882613491515,20.939180374145508,9123400,0
2005-02-25,20.93917472616913,21.167519921682413,20.92204959868705,21.104724884033203,8776200,0
2005-02-28,21.104726219723467,21.13326882655376,20.84783840292823,20.86496353149414,11403900,1
2005-03-01,21.12185736158918,21.315950192018366,21.0533546501618,21.1732349395752,10170900,1
2005-03-02,21.121848015001383,21.36160848773224,21.047635506825227,21.116140365600582,9392100,1
2005-03-03,21.2074839267888,21.224609057438347,20.95059607873761,21.127561569213864,8372400,0
2005-03-04,21.26456391174188,21.57282925350376,21.190351401096745,21.412986755371094,12698300,0
2005-03-07,21.412993804946243,21.435828766148774,21.29882335425711,21.315948486328125,11265600,0
2005-03-08,21.253147045792414,21.28168964988833,21.07047176638521,21.087596893310547,9934400,1
2005-03-09,20.96772066686013,21.019098235141005,20.74508526353019,20.819297790527344,17648000,1
2005-03-10,20.8250086753117,20.89351138443688,20.71654587105835,20.756505966186523,11903100,1
2005-03-11,20.69942026848996,20.7679251609295,20.5509973568617,20.6137924194336,9297300,1
2005-03-14,20.613783827888007,20.83071154154328,20.471068627947115,20.807876586914062,13097500,0
2005-03-15,20.84212745927165,20.933465102836006,20.65945217214296,20.693704605102536,8607000,0
2005-03-16,20.693704605102536,20.77933459867089,20.5795320062318,20.693704605102536,13404700,0
2005-03-17,20.676579651162385,20.710829906748515,20.493904362498988,20.636619567871094,9034600,0
2005-03-18,20.6423297576308,20.693707324992413,20.448236967338204,20.556699752807617,18106400,0
2005-03-21,20.48250133079688,20.52246144227153,20.26557345588968,20.43112373352051,11448100,0
2005-03-22,20.55099567838121,20.55099567838121,19.95729972503357,20.014387130737305,14833000,1
2005-03-23,20.01438855399313,20.14568632995572,19.91163339408119,19.94017601013184,17485800,0
2005-03-24,20.03722134023644,20.0657661339491,19.90592356427385,19.94017601013184,11987900,0
2005-03-28,19.940176383132723,20.02580641054848,19.826003739132403,19.894506454467773,8804800,0
2005-03-29,19.780333705589825,20.0372194028698,19.591948538078583,19.740373611450195,14720400,1
2005-03-30,19.70612298236532,19.96871853306598,19.677580366447767,19.95159339904785,11279800,1
2005-03-31,19.923049129633306,19.940174262230144,19.711828998517063,19.75178909301757,13312200,0
2005-04-01,19.86025599152254,20.04293134907281,19.317937571068043,19.551990509033203,20140200,0
2005-04-04,19.413602199126544,19.575047380894908,19.22909530524471,19.47126197814941,15639300,1
2005-04-05,19.603884636853635,20.042088149193027,19.586587795424744,19.938304901123047,15200900,1
2005-04-06,20.0363171716154,20.12857063032501,19.96136054907135,19.99595642089844,10676000,1
2005-04-07,20.03631669979132,20.23812044862396,19.990188871774777,20.06514549255371,8304500,0
2005-04-08,20.099748482386097,20.15164120753584,19.89217758178711,19.89217758178711,6360800,1
2005-04-11,19.9901916354932,20.0709153456825,19.93253404199704,19.96136283874512,7172800,1
2005-04-12,19.96136074439421,20.295780910173843,19.74802503144621,20.203527450561523,14425600,1
2005-04-13,20.209289793570928,20.232353705453857,19.892168703415617,19.93252944946289,11500600,1
2005-04-14,19.932531281347348,19.955595195349947,19.713428497314453,19.713428497314453,11012300,1
2005-04-15,19.748031223291218,20.0074948471462,19.540460324207228,19.56352424621582,15012100,1
2005-04-18,19.74802509022464,20.13433576615856,19.72496117537892,19.97289276123047,16011300,1
2005-04-19,20.024792469209604,20.27272414172144,19.995963665323828,20.151641845703125,10932200,1
2005-04-20,20.54371793646208,20.687864142753146,20.02479071401561,20.04208755493164,25470000,1
2005-04-21,20.19199549317299,20.27848187434305,19.788385782558105,20.203527450561523,16555800,1
2005-04-22,20.04785311332816,20.28425278572361,19.926770837112624,20.10551071166992,13476600,1
2005-04-25,20.16893213814629,20.295781473444684,20.117039428205683,20.27848243713379,9174600,1
2005-04-26,20.284254435306057,20.42840064237929,20.20353291126449,20.226596832275387,8410100,1
2005-04-27,20.226587447582933,20.61289804754123,20.163162793978906,20.46875190734864,11456900,1
2005-04-28,20.353446316589515,20.4745286164401,20.180471288303423,20.19200325012207,12987700,1
2005-04-29,20.19775543630283,20.46875086996913,20.134330785913235,20.46298599243164,14205800,0
2005-05-02,20.51488611293361,20.526415872181406,20.24965546081336,20.50911903381348,10170400,0
2005-05-03,20.514879727968125,20.653258790835512,20.33613772231091,20.46875190734864,12748700,0
2005-05-04,20.47452174118948,20.85506755543207,20.439928066846747,20.814706802368164,12880000,0
2005-05-05,20.84354233992441,20.86660406134728,20.480293283681444,20.69939613342285,8286700,0
2005-05-06,20.75705231566368,20.785881115091705,20.46875992239057,20.53218460083008,7313800,0
2005-05-09,20.503349561451262,20.7570459985034,20.49181760529039,20.73398208618164,6858100,0
2005-05-10,20.526415041623554,20.537946999900967,20.180465091285683,20.261186599731445,13667900,1
2005-05-11,20.2611820702579,20.43415700675755,20.09973908945765,20.353435516357425,9091900,0
2005-05-12,20.382271109635514,20.40533502873324,19.96713156335833,20.082448959350582,11278100,1
2005-05-13,20.08245961714191,20.08245961714191,19.66731765105188,19.869121551513672,13913000,1
2005-05-16,19.944059534005422,20.13433129044668,19.909463669427247,20.030548095703125,10447100,1
2005-05-17,19.897936380069936,20.330374890962027,19.892171501036284,20.30154609680176,11668100,1
2005-05-18,20.52641556600197,20.81470793181378,20.44569405549406,20.78587913513184,14821100,0
2005-05-19,20.659027610120656,20.9300208808758,20.647495653993413,20.866596221923828,10298500,1
2005-05-20,20.866605219999983,20.906965984101795,20.705162163592743,20.791650772094727,7475100,0
2005-05-23,20.699391447117527,20.75704903686595,20.59560602597352,20.705156326293945,7940900,1
2005-05-24,20.739756151341453,20.7570529916623,20.561014069872297,20.693628311157227,6290700,0
2005-05-25,20.635966778696623,20.75704903686595,20.58407406812461,20.705156326293945,5064800,0
2005-05-26,20.780115775470925,20.80894457426143,20.595608823816058,20.722455978393555,5880200,1
2005-05-27,20.72821984466789,20.780112554245207,20.589838552629715,20.641731262207028,6003700,0
2005-05-31,20.659039074472,20.75705745670345,20.549486530216903,20.612911224365234,7597500,0
2005-06-01,20.503352423823163,21.04534124207445,20.503352423823163,20.618667602539062,12206800,0
2005-06-02,20.324612096859152,20.630201305398664,20.186230791400064,20.607139587402344,15578700,0
2005-06-03,20.53794987119361,20.6705641106797,20.41686759159716,20.497589111328125,8616400,0
2005-06-06,20.451459920683828,20.52064946851316,20.29578178844579,20.47452163696289,5933100,0
2005-06-07,20.48029162596176,20.722456177524705,20.43993086736793,20.45722770690918,8578500,0
2005-06-08,20.49758292198826,20.64749615579003,20.45722217430989,20.5667724609375,7721800,1
2005-06-09,20.480283862503505,20.58406925940182,20.359201632620657,20.46875190734864,7090400,1
2005-06-10,20.52641265233134,20.54947656620152,20.31884402598748,20.42839431762696,6504700,0
2005-06-13,20.347669677465785,20.61866292537089,20.33613772231091,20.46875190734864,7127600,0
2005-06-14,20.43992088684873,20.60136384239376,20.40532502516252,20.52640724182129,5900100,1
2005-06-15,20.60714088160534,20.69939435787317,20.53218424479511,20.589841842651367,9128200,0
2005-06-16,20.561014807402863,20.785882537625856,20.53218600600187,20.69939613342285,9775400,0
2005-06-17,20.866597435679537,20.87236451382648,20.68785760404977,20.80317497253418,15436700,0
2005-06-20,20.699392745086016,20.86660064563975,20.641732952225937,20.78587913513184,8378700,0
2005-06-21,20.78587619158774,20.837768898065047,20.699389813789487,20.78011131286621,5783400,0
2005-06-22,20.872369668946405,21.004983905633377,20.79164815091924,20.906963348388672,9192700,0
2005-06-23,20.9992076233632,21.004974700407143,20.710915357038083,20.71668243408203,10695500,0
2005-06-24,20.69939305384564,20.77434748643749,20.41110068373356,20.50911903381348,12273900,0
2005-06-27,20.51488789087258,20.62443820919079,20.48029201164221,20.520652770996097,8561800,0
2005-06-28,20.624430154111867,20.710916519165043,20.537941589563125,20.710916519165043,5892400,0
2005-06-29,20.74551404234252,20.814703579812058,20.68785646103386,20.73398208618164,6204900,0
2005-06-30,20.589844624247515,20.75705475991492,20.36497688293457,20.36497688293457,10788500,1
2005-07-01,20.504700688451223,20.551274661313965,20.382439290326825,20.411550521850582,10686600,0
2005-07-05,20.376612983104067,20.53962517628904,20.26599788356777,20.35914802551269,7921200,1
2005-07-06,20.37661427301018,20.46394350824439,20.044766732519705,20.14373779296875,10760500,1
2005-07-07,20.14374290833869,20.14374290833869,19.96908661439217,20.062236785888672,10625900,1
