<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,11.036122604268286,11.05455995954772,10.907060112551743,10.941301345825195,14072000,0
2005-01-04,10.94129907806956,10.970272346006508,10.77272843344764,10.78853130340576,16860200,1
2005-01-05,10.799070133634167,10.851748725482055,10.730588667564309,10.738490104675291,13271000,0
2005-01-06,10.717417844998073,10.838578902916575,10.680543133581343,10.828042984008787,10038600,0
2005-01-07,10.81751076407318,10.920233496648112,10.759564195026451,10.841216087341309,9732800,0
2005-01-10,10.81751191508646,10.938672022566056,10.801708029639174,10.9017972946167,10577000,0
2005-01-11,10.86755488885662,10.883358772622328,10.80170688030747,10.841216087341309,10594000,0
2005-01-12,10.84384956558849,10.864921410609435,10.759564195026451,10.841216087341309,10857200,1
2005-01-13,10.841219798631576,10.849121240838906,10.696354331183622,10.730595588684082,9431200,0
2005-01-14,10.733221663978906,10.828042924103348,10.733221663978906,10.791168212890623,8296400,1
2005-01-18,10.725323169756766,10.867554094204522,10.693715404536556,10.864920616149902,10045800,1
2005-01-19,10.82277641153702,10.914963201892949,10.820142933852846,10.825409889221191,8542600,1
2005-01-20,10.804342059940057,10.941306047124527,10.712154239170792,10.885993957519531,13351600,0
2005-01-21,10.86228566489362,10.904428341377486,10.749027033450606,10.775365829467772,13431600,1
2005-01-24,10.785897826666174,10.846477839279656,10.73321924903175,10.78853130340576,13641800,0
2005-01-25,10.83857934421193,10.912328770048113,10.820141987752883,10.862284660339355,9709400,0
2005-01-26,10.838577769007092,11.028219265704733,10.838577769007092,10.978175163269045,15601000,1
2005-01-27,10.978182428215703,11.06246781691608,10.938673212679424,10.999253273010254,11226400,0
2005-01-28,10.938668880382917,10.9650086818955,10.854383525064035,10.928133964538574,13453000,1
2005-01-31,11.001883399252424,11.017687280159972,10.901794163025992,10.928133964538574,14094600,0
2005-02-01,10.930770333110948,10.930770333110948,10.833315553642786,10.909698486328129,10813000,1
2005-02-02,10.917596881737651,11.044024901257506,10.893891565280144,11.041390419006348,13188200,0
2005-02-03,11.036123079419468,11.041390034217066,10.957104690807816,10.993980407714846,9620200,1
2005-02-04,10.959736368435305,11.19678845932838,10.946566975290184,11.18625354766846,15542400,0
2005-02-07,11.217865210802737,11.217865210802737,11.130945369365152,11.191526412963867,8667000,1
2005-02-08,11.236301805031792,11.294248362043929,11.178355248019658,11.233668327331545,9454600,0
2005-02-09,11.275812311048348,11.354829713104843,11.167821627126957,11.26264190673828,14255400,1
2005-02-10,11.294246820280556,11.352192364621956,11.130943091858867,11.194157600402832,8683800,1
2005-02-11,11.1493842668058,11.346928274327428,11.1493842668058,11.26264190673828,10168000,0
2005-02-14,11.3153211920443,11.317955674969497,11.233670307058466,11.28898239135742,6977200,1
2005-02-15,11.310051237766752,11.310051237766752,11.117775213307274,11.233668327331545,11663400,1
2005-02-16,11.54710287799927,11.628754742443917,11.365362798150832,11.404870986938477,33930000,0
2005-02-17,11.415404724567685,11.418038201412772,11.275807342290348,11.325851440429688,14434800,0
2005-02-18,11.344292339435473,11.344292339435473,11.262640465064496,11.315319061279297,11256600,1
2005-02-22,11.273174668368444,11.36536244889442,11.183621369870338,11.270541191101072,17063600,0
2005-02-23,11.27054301618867,11.304783250011658,11.167820305198378,11.21523094177246,11546800,1
2005-02-24,11.228397125515936,11.278441225458188,11.170450585233048,11.236298561096191,9311000,0
2005-02-25,11.246838943538569,11.339025744442342,11.159919098605773,11.331124305725096,10707200,0
2005-02-28,11.288981983283293,11.362731426349336,11.24420481802119,11.273178100585938,13223200,1
2005-03-01,11.27317808717006,11.431213899673114,11.262642165384362,11.396972656249998,9999400,0
2005-03-02,11.331124441853882,11.43121368743812,11.288981760254329,11.336392402648926,9719200,0
2005-03-03,11.37589683621531,11.43911134007196,11.339022127615786,11.373263359069824,9450000,1
2005-03-04,11.44174812630585,11.528667968651929,11.39170400798464,11.494426727294922,13141400,0
2005-03-07,11.46808657283483,11.54973744018823,11.46018413052662,11.515497207641602,9485000,0
2005-03-08,11.475987811381197,11.536567842636993,11.418041257675393,11.436478614807127,11534600,0
2005-03-09,11.383804756001018,11.439116845521056,11.273179572200004,11.381170272827148,12479200,0
2005-03-10,11.391708066362094,11.428582798763108,11.317958601560065,11.344297409057615,9968600,0
2005-03-11,11.373456900147437,11.376107610520094,11.214386971729162,11.262107849121094,11803400,0
2005-03-14,11.293921392550391,11.33368912735602,11.161363624978977,11.22499179840088,11332000,0
2005-03-15,11.267410199961834,11.320433509052284,11.182573309951314,11.198480606079102,10415800,1
2005-03-16,11.201133222758044,11.267412117567265,11.092435875724352,11.11894702911377,14509600,0
2005-03-17,11.103040730409097,11.174622058091092,11.068575421969095,11.134854316711426,8479200,1
2005-03-18,11.13750108926423,11.1640132445878,10.975781492799378,10.991687774658203,31165400,0
2005-03-21,11.034111027128697,11.052669038286256,10.9360185379622,11.02880859375,13221800,0
2005-03-22,11.03940475372772,11.10038117248699,10.943963050857574,10.975777626037598,13188600,1
2005-03-23,10.949265422197463,10.96782341862027,10.885638294843552,10.917451858520508,13798200,1
2005-03-24,10.983736460146256,10.983736460146256,10.845876263545726,10.922760009765623,10321600,1
2005-03-28,10.978430197665531,11.026151057197348,10.893593338794558,10.901546478271484,11567800,0
2005-03-29,10.922759595233448,10.989038475045136,10.893596726302633,10.97313117980957,10896000,1
2005-03-30,10.989036690914215,11.13750071033376,10.989036690914215,11.121594429016112,13239800,1
2005-03-31,11.110992410482812,11.110992410482812,11.0049457883305,11.047364234924316,9457400,0
2005-04-01,11.08978214565288,11.121595723325855,10.946619529121376,10.97047996520996,11705200,1
2005-04-04,11.02880518591508,11.02880518591508,10.936015158798844,10.994340896606444,9298200,1
2005-04-05,11.03940777184526,11.121593929860486,11.002291768656203,11.097733497619627,8743600,0
2005-04-06,11.132194452711476,11.15605487565344,11.02879861240639,11.057961463928224,8363000,1
2005-04-07,11.087134413439696,11.20378491443564,11.087134413439696,11.166668891906738,10670200,1
2005-04-08,11.193175324818805,11.240896189719336,11.148105169597084,11.16136074066162,7767400,1
2005-04-11,11.201129838741345,11.20908298008828,11.084479383199684,11.100385665893556,9955200,1
2005-04-12,11.073874585653492,11.243548344288662,11.052664860156408,11.222339630126951,14217000,1
2005-04-13,11.222338187961936,11.285965333605812,11.137500308211356,11.16136074066162,13992400,0
2005-04-14,11.187871432521863,11.259452720521146,11.140150573855673,11.153406143188478,13765800,1
2005-04-15,11.156063433395472,11.169319009345974,10.909505877640772,10.946621894836426,14048600,0
2005-04-18,10.901546876799486,10.95722188917867,10.800803735291794,10.861780166625977,15410600,1
2005-04-19,11.320433544213492,11.378758274192192,11.150759763665448,11.240899085998535,25291800,1
2005-04-20,11.272714503378884,11.28066764709532,11.036761800658336,11.10304069519043,16812400,0
2005-04-21,11.214383987184744,11.214383987184744,11.06591997377516,11.129547119140623,16392600,0
2005-04-22,11.12159257213021,11.28331314742694,11.105685282133196,11.169313430786133,13380200,0
2005-04-25,11.2488475628223,11.32838198804938,11.1640107077354,11.315126419067385,12265400,1
2005-04-26,11.31513315665932,11.4821562570246,11.293923424590725,11.389365196228027,17567600,1
2005-04-27,11.37080428964943,11.386711584648529,11.262106968827494,11.352246284484863,10492600,0
2005-04-28,11.301875164048411,11.378757898024435,11.299223442438793,11.31778144836426,10612000,1
2005-04-29,11.3230845052078,11.532526025166993,11.293921633905189,11.516618728637695,16370800,1
2005-05-02,11.52987294439962,11.564337229457864,11.463594072823328,11.551081657409668,10587800,1
2005-05-03,11.551085998577108,11.670388214518054,11.537830421547158,11.601457595825195,13355600,1
2005-05-04,11.659779047787762,11.728709641056383,11.582895313501732,11.646523475646974,11776000,1
2005-05-05,11.606757675442598,11.728711588862788,11.601455243438634,11.704851150512695,9011800,1
2005-05-06,11.723407300302233,11.805592455009837,11.691592713316709,11.715453147888184,11362800,1
2005-05-09,11.71810683799167,11.824152445088329,11.691594677715877,11.816199302673342,9263200,0
2005-05-10,11.69689989707324,11.77378366319073,11.670388741815502,11.726062774658203,8607000,0
2005-05-11,11.699547808553888,11.74991939167056,11.609408494168244,11.736663818359371,9109200,0
2005-05-12,11.710153579711914,11.863921087063538,11.59880553204536,11.710153579711914,7955200,1
2005-05-13,11.789685161187425,11.789685161187425,11.63061527391548,11.694243431091309,9995000,0
2005-05-16,11.720757982472968,11.76052571869185,11.686293689841182,11.734013557434082,5694200,1
2005-05-17,11.673035190902294,11.792337368675575,11.593500742831896,11.77112865447998,8947200,0
2005-05-18,11.78173267792475,11.914290430422565,11.75787224202173,11.908987998962404,12734800,1
2005-05-19,11.9142909528421,11.999127837253807,11.898384669099553,11.996477127075195,12546400,1
2005-05-20,11.983220563825864,11.983220563825864,11.863918388932651,11.94345283508301,12042800,0
2005-05-23,11.922244071960447,11.975266361617244,11.885128064666551,11.922244071960447,10954600,1
2005-05-24,11.869225062286285,11.967317547219112,11.866573340043509,11.935503959655763,7739800,0
2005-05-25,11.895734276690709,11.98322289239153,11.885130423456058,11.903688430786133,7436800,0
2005-05-26,11.91429088232337,11.943453750792678,11.887779735352414,11.901035308837892,6121200,0
2005-05-27,11.901031492617095,11.94079921165692,11.863915494225315,11.911636352539064,6379200,0
2005-05-31,11.869218776631175,11.877171916476293,11.763172192465468,11.832102775573732,12964600,0
2005-06-01,11.808245204800665,11.911640093171355,11.779082336524745,11.821500778198242,9291200,1
2005-06-02,11.787036014708692,11.890430907784747,11.744617571104785,11.871872901916504,11104000,1
2005-06-03,11.829457696033431,11.83741185167935,11.625318564274448,11.726062774658203,9711200,1
2005-06-06,11.66772932132788,11.710147748554787,11.612055325217892,11.657125473022464,8067200,1
2005-06-07,11.673033708254282,11.789685161187425,11.657127427461765,11.694243431091309,7902600,1
2005-06-08,11.699547228800652,11.723407664112584,11.601453766220835,11.63857078552246,8908600,0
2005-06-09,11.585549810546222,11.641223833677827,11.519270922627005,11.572294235229492,10212600,1
2005-06-10,11.593505867236924,11.654482338087403,11.548436697565805,11.651831626892088,9273400,1
2005-06-13,11.63314942576137,11.726535413552154,11.598464161383497,11.630481719970703,8915400,1
2005-06-14,11.63048124911957,11.739875502865296,11.63048124911957,11.6678352355957,9641600,1
2005-06-15,11.699853653820147,11.699853653820147,11.57978755068889,11.64382266998291,9612200,1
2005-06-16,11.659832437913614,11.72386755983936,11.582455732585087,11.681177139282228,7681600,0
2005-06-17,11.779899846770151,11.793240412673486,11.678509713828952,11.753217697143556,14473400,0
2005-06-20,11.686514324646735,11.753218174693602,11.675841464362444,11.715864181518551,5860800,1
