<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,17.765656789565874,18.11984504060328,17.73192483049556,17.889341354370117,4906300,1
2005-01-04,17.844369874341975,18.16482732523948,17.844369874341975,18.035520553588867,5435100,1
2005-01-05,18.03551445406318,18.142332495917056,17.894962310791016,17.894962310791016,4008100,1
2005-01-06,17.90059053620048,18.10860559106104,17.878101842529105,18.035520553588867,3671000,0
2005-01-07,18.00740722399917,18.091738746436462,17.83874632376429,17.917455673217773,3902200,1
2005-01-10,17.805004119873047,17.91182320050217,17.720673718247628,17.805004119873047,3455100,0
2005-01-11,17.670081670553348,17.805010576547463,17.456443431822947,17.484554290771484,5045300,0
2005-01-12,17.552018955721504,17.625106119783247,17.405845699917688,17.619483947753906,4194300,0
2005-01-13,17.563259188741537,17.602613311415606,17.338377721804395,17.366487503051758,3731800,1
2005-01-14,17.33838725100433,17.63073385485639,17.321520729594404,17.602622985839844,3919700,0
2005-01-18,17.54077213613939,17.816252075939698,17.47330715775263,17.765653610229492,3642900,1
2005-01-19,17.8218794604412,17.99054034726894,17.743170117244457,17.77690315246582,4444300,1
2005-01-20,17.748799402056,17.861240753211682,17.50142907290562,17.68133544921875,4047900,1
2005-01-21,17.681321342624027,17.765651752549807,17.50141510984453,17.568880081176758,4085500,0
2005-01-24,17.75441725818964,17.92870034499945,17.670086801495856,17.844369888305664,5401900,1
2005-01-25,17.984914059445348,18.041134699630177,17.934315590510955,17.956804275512695,4957200,0
2005-01-26,17.95118091935791,18.13108609821873,17.917448966401366,17.984912872314453,4675000,1
2005-01-27,17.99053475240393,18.209794051556635,17.956802799992616,18.05799865722656,6036000,1
2005-01-28,17.906207212692948,18.12546761939961,17.540774631274644,17.990537643432617,7837700,1
2005-01-31,18.04676281487199,18.271645463042308,18.04676281487199,18.20980262756348,5815000,0
2005-02-01,18.01865177695836,18.09736005499616,17.939943498920552,17.979297637939453,5949100,1
2005-02-02,17.923076421884662,18.00178576979235,17.74317117921538,17.861234664916992,6577700,0
2005-02-03,17.765650830330404,18.046751824717862,17.653209574719988,18.02426528930664,3694200,1
2005-02-04,17.889345575632795,18.327864363980968,17.878101229182867,18.310998916625977,5137300,0
2005-02-07,18.204170083385016,18.46840456255264,18.204170083385016,18.42905044555664,5516100,0
2005-02-08,18.39532853141124,18.46841355878256,18.20417895090246,18.22666549682617,5179300,1
2005-02-09,18.21542391668113,18.260399154700178,17.968052601337583,17.973674774169922,4515400,0
2005-02-10,18.046762466430664,18.108605300715453,17.911834595845523,18.046762466430664,3584700,1
