<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,37.18941859174413,37.74610939528997,37.13510779746946,37.29351806640626,3817632,0
2005-01-04,37.293529364398665,37.574135908124326,36.963134125202174,36.99029159545899,4358942,1
2005-01-05,36.97671339023445,37.08986125835476,36.53770065307617,36.53770065307617,3462779,0
2005-01-06,36.60559759231861,37.29353743018367,36.57844011618822,36.86809921264648,3605342,1
2005-01-07,36.88618986548781,37.474556192065634,36.77304201847843,37.24826049804688,3938428,0
2005-01-10,37.24827739796708,38.15346058473288,37.24827739796708,37.99052810668945,5195065,0
2005-01-11,37.99505365505254,38.46575022505602,37.94979532250298,38.33902359008789,5689492,1
2005-01-12,38.28019015651982,38.47028012703584,38.01768849895807,38.45217514038086,5003466,0
2005-01-13,38.31638859994568,38.69656846755306,37.79591163200637,37.92263412475586,4990190,0
2005-01-14,37.92263250860625,38.13082741669563,37.61034634115136,38.00410079956055,3686311,0
2005-01-18,38.01315197406138,38.47026972520455,36.940510270736105,37.12154769897461,8565034,1
2005-01-19,37.33879572521345,37.47004447035969,37.157758273875366,37.18943786621094,5834088,1
2005-01-20,37.42931350102994,37.81401551546729,37.14870688852175,37.54246139526367,3867864,0
2005-01-21,37.45195092005535,37.61940966599936,36.741379714177846,36.7821159362793,5094362,1
2005-01-24,36.886202790436194,37.09439358035246,36.564859984077096,36.94051361083984,4839375,1
2005-01-25,37.18038601395556,37.5741404720068,37.11702270544563,37.483619689941406,4162558,1
2005-01-26,37.55151958497744,37.9769537495466,37.55151958497744,37.755184173583984,3491722,1
2005-01-27,37.56508913869642,37.79138490615587,37.31163589684444,37.51530456542969,3066664,1
2005-01-28,37.51531305058532,37.74613511598384,37.47005058302703,37.6782455444336,2447734,0
2005-01-31,37.83664834276536,38.24398160515175,37.83664834276536,38.18061828613281,3349637,0
2005-02-01,38.17609444235388,38.3345006849769,37.927167396955504,38.05389404296875,3600199,0
2005-02-02,37.91358360626676,37.92263196754492,37.660130375612745,37.71896743774414,3477968,0
2005-02-03,37.746124910936814,37.87284739647775,37.54245625134996,37.71896743774414,2768022,1
2005-02-04,37.814019490826624,38.11273111934725,37.75518241444812,38.05389404296875,2931755,1
2005-02-07,38.04030919761084,38.24397787382623,37.90906045582198,37.96337127685546,2051379,1
2005-02-08,37.81400220923854,38.28922484971053,37.6872797509265,38.17155075073242,2415920,1
2005-02-09,38.171560774170175,38.18513951141448,37.65560592696321,37.72349548339844,2129837,1
2005-02-10,37.741597741426986,38.05388389678103,37.723492759741774,37.97241973876953,2290699,1
2005-02-11,38.00862089155915,38.25302159506744,37.67370355034395,38.03577423095703,3083408,1
2005-02-14,38.23039127782431,38.44763451730369,38.08556382809991,38.29375457763672,2406950,1
2005-02-15,38.470281013293,38.95455224938625,38.343554363362855,38.9183464050293,4489306,1
2005-02-16,38.69656471492186,39.36639946938712,38.63772765514932,39.28493118286133,3542911,0
2005-02-17,39.14009146312717,39.28491887963328,38.791595458984375,38.791595458984375,3484785,1
2005-02-18,38.82328406528607,39.14915305533037,38.696561595042496,38.71918869018555,3536692,1
2005-02-22,38.65130563930692,38.85497430852784,37.949791235864886,38.04483413696289,3575322,0
2005-02-23,38.0630359583862,38.34050269760901,37.94022607750388,38.17220306396485,3681766,1
2005-02-24,38.10851073660256,38.33139801025391,37.74007289755383,38.33139801025391,3219871,0
2005-02-25,38.29954842790565,38.613406824758606,38.0675673977822,38.48149490356445,2693512,0
2005-02-28,38.48150888866101,38.499704787996606,38.09032610661709,38.181297302246094,2587307,1
2005-03-01,38.18585981103427,38.663469133673615,38.05395194567345,38.42238998413086,2738720,0
