<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,14.237326418108008,14.344139787122671,13.787820824054553,13.912435531616213,18835390,0
2005-01-04,14.005890718016568,14.063748154154426,13.801165637312636,13.854572296142578,13575792,0
2005-01-05,13.854574241315348,14.086003128737552,13.818969797096546,13.94803524017334,16589211,0
2005-01-06,14.019237525089151,14.126050800654914,13.948027785090636,14.045940399169922,7538788,0
2005-01-07,14.028143714934464,14.063748154154426,13.850121518834662,13.854572296142578,10808758,0
2005-01-10,13.85456965690484,14.019240379333496,13.672096718257452,14.019240379333496,8521917,0
2005-01-11,14.010337661730237,14.010337661730237,13.83231551434194,13.872370719909668,7896890,1
2005-01-12,13.9079750796121,13.95248017142517,13.778908800997735,13.832315444946287,10428124,0
2005-01-13,13.79671656029769,13.818969559958022,13.574188342937942,13.640947341918944,8366708,1
2005-01-14,13.529680474474254,13.765560087684529,13.529680474474254,13.738856315612791,7512902,0
2005-01-18,13.738852752653958,13.979183080487177,13.654292460662491,13.93022632598877,8472346,1
2005-01-19,13.92577344263305,14.019235266098448,13.787806539663915,13.805608749389648,8384105,0
2005-01-20,13.885723830106633,13.89017460673248,13.63649279376086,13.67654800415039,8156270,1
2005-01-21,13.689899225913674,13.703250665956576,13.445118970100475,13.511877059936523,7498859,0
2005-01-24,13.574186053591086,13.64094504131289,13.284900665283203,13.284900665283203,10854136,0
2005-01-25,13.46291962207542,13.89462265718254,13.351655558865112,13.774457931518556,12904967,0
2005-01-26,13.79671108486428,13.94802946533361,13.79671108486428,13.872370719909668,7558700,0
2005-01-27,13.850116735214346,13.921325589059808,13.716600579064792,13.876819610595703,7566350,0
2005-01-28,13.943579640336068,13.943579640336068,12.230117131385905,12.470446586608888,59899802,0
2005-01-31,12.470444683020393,12.54165353141975,12.292422562021995,12.48379611968994,31296843,1
2005-02-01,12.488248704320004,12.590611216318235,12.36363320156781,12.385886192321776,17799337,0
2005-02-02,12.43039912345294,12.750839189758748,12.399245450523155,12.666278839111328,14414716,0
2005-02-03,12.661817522033466,12.746376906740515,12.474893873917123,12.644015312194824,13747245,1
2005-02-04,12.644015237071038,12.670718106859749,12.559454073624003,12.617311477661133,9223134,1
2005-02-07,12.55056103823875,12.83984645492762,12.528308040148302,12.652923583984377,10627558,1
2005-02-08,12.599512350781543,12.83539190986248,12.577259360765286,12.817588806152344,9414813,1
2005-02-09,12.817586863144593,13.008960413182852,12.733026581446936,12.77308177947998,9854763,1
2005-02-10,12.817594511747052,12.88435351151277,12.684078291459228,12.799792289733888,6847946,1
2005-02-11,12.795333212810736,13.057915576532745,12.768629454156695,13.0000581741333,9129128,1
2005-02-14,12.95555796028872,13.10687635073982,12.915502752078735,13.08907413482666,7001898,1
2005-02-15,13.031221465906151,13.22259602402293,12.968914132284374,13.062376022338867,8108690,1
2005-02-16,12.951107935785435,12.98671236967878,12.80423942357,12.91550350189209,8778677,1
2005-02-17,12.915502434501605,12.951106865452452,12.679623746668357,12.839842796325684,8507664,1
2005-02-18,13.12022505260815,14.5132474899292,13.12022505260815,14.5132474899292,61549354,0
2005-02-22,14.508802687644003,14.508802687644003,13.876823488353718,13.890175819396973,37655583,1
2005-02-23,14.037046495615764,14.241771594201404,13.921331613232931,14.134958267211914,12927499,1
2005-02-24,14.152755831289197,14.250667570666634,14.041491763215443,14.237316131591797,7883266,1
2005-02-25,14.152756714070104,14.312976661826324,14.0281411991486,14.197261810302734,8671781,1
2005-02-28,14.197264642902557,14.250671302810185,13.961385895526826,14.108254432678224,15183843,0
2005-03-01,14.268476559980432,14.326334009601377,14.16611399577392,14.299631118774414,9794503,1
2005-03-02,14.344659059657186,14.37168242684614,14.096949211724086,14.232064247131348,9807813,1
2005-03-03,14.259094041245744,14.281612473739273,14.006880035057284,14.223063468933104,7524430,1
2005-03-04,14.272596199197007,14.31312989205542,14.051908859137331,14.268092155456545,7674399,1
2005-03-07,14.299623757611805,14.317639038725874,14.214051397387202,14.277105331420898,8031243,1
2005-03-08,14.299617499896437,14.385189822673375,14.259083810329578,14.290610313415527,7031661,1
2005-03-09,14.295123404529322,14.389702973648932,14.214054173547847,14.335657119750977,7738851,1
2005-03-10,14.407716365221011,14.538327386713748,14.353670518424256,14.484281539916992,8163291,1
2005-03-11,14.538327386713748,14.560846714612971,14.42122760185296,14.484281539916992,6419629,0
2005-03-14,14.49778896225217,14.587865349881444,14.412216619071542,14.542827606201172,5804872,0
2005-03-15,14.63741638445824,14.63741638445824,14.38970638706665,14.412225723266602,6597370,1
2005-03-16,14.412219489641965,14.475272523406751,14.196036116273133,14.277105331420898,7939543,1
2005-03-17,14.24558102992309,14.326649362532416,14.196039221091327,14.286115646362305,6922040,1
2005-03-18,14.344658803687269,14.430232048034668,14.150994793319112,14.430232048034668,11821859,1
2005-03-21,14.434738914082503,14.434738914082503,14.30863104515911,14.340158462524414,7067083,1
2005-03-22,14.412217775899643,14.452752378653598,14.277103633744863,14.403209686279297,8574317,1
2005-03-23,14.389705315612073,14.574362238217434,14.367185981088904,14.439247131347656,9392910,0
2005-03-24,14.452752699570553,14.475271123583823,14.322141699056983,14.353668212890623,5898773,1
2005-03-28,14.448248977699585,14.452753022710471,14.277104269974316,14.304126739501951,6352138,1
2005-03-29,14.308632559564003,14.488786291263668,14.304129413979997,14.416725158691406,8025270,0
2005-03-30,14.479780567606449,14.619398809731369,14.416727516428418,14.610391616821287,8126821,1
2005-03-31,14.596869833928846,14.682442155976492,14.484274152131754,14.57885456085205,8397519,1
2005-04-01,14.713979310909728,14.718483357506736,14.515811163602091,14.551841735839844,7254780,1
2005-04-04,14.583362369938955,14.655422580585189,14.439239247840275,14.637407302856444,8984714,1
2005-04-05,14.722987470998063,14.930163725109272,14.682453749769772,14.880621910095217,11127769,1
2005-04-06,14.97069618390248,15.056268561159165,14.754512767505124,14.81306266784668,8133423,1
2005-04-07,14.59237060721847,15.092294375046416,14.40320972733996,15.08328628540039,21216236,1
2005-04-08,15.177871055358697,15.19588543818386,14.94367147486548,15.011228561401367,7620532,0
2005-04-11,15.065276463954543,15.128329513243235,14.885124508728651,14.925658226013184,5167478,1
2005-04-12,14.88511813035188,15.231911553374552,14.840079485642931,15.227408409118652,8287584,0
2005-04-13,15.227404480099768,15.898471830639904,15.09679352446693,15.547174453735352,26918509,0
2005-04-14,15.58321167723082,15.7498532506296,15.5516860609907,15.664280891418455,14846492,0
2005-04-15,15.871450698264958,16.33083975267516,15.655267402008729,15.673283576965332,20426463,0
2005-04-18,15.650770316953569,15.650770316953569,15.312984010863223,15.506648063659668,10906536,0
2005-04-19,15.605736196419103,15.6868054375835,15.37153836704666,15.619247436523438,8597582,0
2005-04-20,15.493138244745962,15.565199377984849,15.13283257855154,15.344511032104492,9044030,0
2005-04-21,15.749851656894938,15.75435660200038,15.290462490547112,15.439087867736816,9908945,0
2005-04-22,15.439088611955258,15.49313535206251,15.281455137493792,15.403058052062988,7480100,0
2005-04-25,15.349015783201985,15.353518928770423,15.096801820071208,15.276954650878906,8292300,0
2005-04-26,15.263451251023431,15.303984983566435,15.04276369489939,15.132840156555176,7701542,1
2005-04-27,15.137332122470136,15.245423796609629,15.024737303776435,15.08328628540039,7432102,0
2005-04-28,15.065270637121465,15.240920278494498,14.98870637835088,15.218400955200195,6406738,0
2005-04-29,15.177871678063068,15.3805420457167,15.09229840465318,15.26794719696045,8308963,0
2005-05-02,15.34451295197584,15.371537230725163,15.177873135982098,15.312987327575684,5918056,0
2005-05-03,15.380533358346158,15.506641174218853,15.312977207465313,15.50213623046875,7513636,0
2005-05-04,15.461615621937815,15.740852149759135,15.452607527352974,15.73184585571289,7309066,0
2005-05-05,15.731835569862064,15.785880500958053,15.47061360146501,15.650766372680664,8509655,0
2005-05-06,15.69581374825942,15.853447285708116,15.317491817951812,15.385049819946287,7602821,0
2005-05-09,15.32198884217096,15.421074232277972,15.218402107816749,15.403058052062988,7356541,0
2005-05-10,15.358018439602748,15.371529672064383,15.155346351603429,15.258933067321776,6538262,0
2005-05-11,15.258933262602332,15.285955727871436,15.042750839643404,15.087788581848145,6829606,1
2005-05-12,15.110313721485928,15.222908570488071,15.04275663203083,15.15084743499756,5908729,1
2005-05-13,15.200386645611554,15.200386645611554,15.002219457112243,15.06977653503418,7898881,0
2005-05-16,15.119320987520544,15.128327278561237,14.997717152822275,15.065274238586426,6454946,0
2005-05-17,14.862604298843118,14.898633967544848,14.677947407800469,14.867108345031738,12939866,0
2005-05-18,14.966190097965152,14.970694143593528,14.700464909925524,14.840083122253418,11385053,0
2005-05-19,14.750001539257688,14.799543322992143,14.659925159618377,14.768016815185549,6531450,0
2005-05-20,14.813064471165225,14.840086951370022,14.691460609436035,14.691460609436035,9450864,0
2005-05-23,14.637411105638366,14.844587303477402,14.628403914568308,14.695960998535156,6123254,1
2005-05-24,14.799539703420404,14.975188375690925,14.74549388885498,14.74549388885498,8265262,0
2005-05-25,14.750005520936188,14.808555408574104,14.619394510134343,14.655425071716309,7042665,0
2005-05-26,14.722977448299805,14.722977448299805,14.511298191666036,14.56984806060791,8788947,1
2005-05-27,14.592374529963829,14.67344285722696,14.55183991619774,14.614892959594728,5349097,0
2005-05-31,14.61489476314175,14.659933428499622,14.53833047246402,14.610391616821287,14101574,1
2005-06-01,14.674190343084364,14.765334416430466,14.542031208997583,14.669632911682127,8205840,1
2005-06-02,14.660514868964372,14.696972488129722,14.583042200503138,14.687857627868652,5426649,0
2005-06-03,14.687867728462638,14.687867728462638,14.537479718251458,14.624067306518556,5952745,0
2005-06-06,14.610385399639467,14.633171640039262,14.542027589379584,14.59671401977539,4753728,1
2005-06-07,14.60127706512116,14.7607789873789,14.56937686285758,14.619505882263184,5595796,1
2005-06-08,14.660507481348356,14.660507481348356,14.391632903228084,14.41441822052002,8048011,0
2005-06-09,14.355184863952354,14.414427821497984,14.24125455785142,14.286826133728027,7796701,0
2005-06-10,14.264041511352632,14.35062906395574,14.163783486466532,14.30505657196045,7843442,0
2005-06-13,14.136440541834355,14.432658092311131,14.13188311050433,14.377971649169922,6473286,0
2005-06-14,14.377971677107128,14.514687329755947,14.336957527876306,14.482787132263184,5293029,1
2005-06-15,14.46455933134828,14.58304617042141,14.368857827251713,14.537473678588867,7178066,0
2005-06-16,14.583045959472656,14.660518647903482,14.532916947933762,14.583045959472656,6149454,0
2005-06-17,14.810907455601953,14.810907455601953,14.523803824034513,14.683305740356444,11570758,0
2005-06-20,14.583042083328266,14.715201179475624,14.546584464455853,14.633171081542969,6209714,0
2005-06-21,14.674188891521837,14.710646517253908,14.52835838859354,14.578487396240234,5898144,0
2005-06-22,14.692418485756887,14.692418485756887,14.542030543879278,14.573930740356444,6827406,1
2005-06-23,14.5420336584505,14.5420336584505,14.227586324706165,14.24125862121582,10144745,0
2005-06-24,14.18656608603636,14.227580225162445,13.876676317315574,13.922247886657717,10520872,1
2005-06-27,13.853892077641891,14.072637828325254,13.853892077641891,13.899463653564451,7580918,0
2005-06-28,14.027062757946208,14.182007170610316,13.94503266640568,14.113649368286133,7830551,1
2005-06-29,14.127326974519622,14.14555579057144,13.990611309600888,14.049854278564451,7061319,1
2005-06-30,14.309613662530298,14.309613662530298,13.945037379010085,14.036181449890137,8889555,1
2005-07-01,14.036182955012483,14.28682894907488,14.036182955012483,14.154670715332031,8414078,0
2005-07-05,14.177454769929764,14.218468916674004,13.972380392449969,14.172897338867188,6106696,0
2005-07-06,14.241253674408858,14.25036762464296,13.899462777308722,13.926806449890137,6296174,1
2005-07-07,13.808324245745975,13.976940124411994,13.626036070750397,13.662493705749512,12928757,1
2005-07-08,13.69439096322024,14.145553871562264,13.69439096322024,14.127325057983398,11888617,0
2005-07-11,13.99060961913958,14.250369533286792,13.95415199144106,14.236698150634766,8450967,0
2005-07-12,14.1592219956459,14.44632549723802,14.136435757647003,14.400753021240234,11002428,0
2005-07-13,14.469115973292263,14.469115973292263,14.314171503827753,14.409873008728027,6435139,0
2005-07-14,14.469116029073229,14.592160301025244,14.428101879049036,14.542031288146973,7103449,0
2005-07-15,14.546588719574013,14.719762004404298,14.478229980987583,14.542031288146973,7159726,1
2005-07-18,14.542023159451816,14.73798349187946,14.478221887956042,14.52835178375244,6527678,0
2005-07-19,14.546586530398194,14.628615729041384,14.368855840888294,14.560257911682127,6137193,0
2005-07-20,14.505574539353557,14.64229111388779,14.332401244008604,14.514688491821287,6772490,0
2005-07-21,14.332405805587936,14.43722130249532,14.045302091911164,14.300504684448242,9634159,0
2005-07-22,14.300493949336891,14.300493949336891,14.07263430489513,14.191121101379396,6319440,0
2005-07-25,14.150111735385716,14.168340549521998,13.954152211155607,14.008838653564451,7368174,0
2005-07-26,14.0270637470878,14.18200817067807,13.94959107982294,13.986048698425291,6479679,1
2005-07-27,13.958710033021552,14.309614965598946,13.954153512267393,14.227584838867188,6302672,1
2005-07-28,14.323286599493782,14.441774359963537,14.23214251872466,14.259486198425291,6331282,0
2005-07-29,14.136441899201316,14.282271517307253,14.109098219535348,14.154670715332031,6762325,0
2005-08-01,14.236697329052314,14.236697329052314,13.94503632429554,13.981493949890137,7328664,0
