<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,18.379886121478208,18.482759667828528,18.277013883219368,18.33873748779297,65002900,1
2005-01-04,18.42789881311057,18.58563637020079,18.283876598482088,18.40732383728028,109442100,0
2005-01-05,18.407315693846005,18.58562814788073,18.352450423996185,18.366167068481445,72463500,0
2005-01-06,18.414176329077527,18.55819718998944,18.27015416007424,18.34559440612793,76890500,0
2005-01-07,18.393601755295915,18.441608709965543,18.2564392145386,18.29072952270508,68723300,0
2005-01-10,18.24272407510864,18.421036570106217,18.2015754402912,18.379886627197266,70376600,0
2005-01-11,18.30444096295094,18.393596523680475,18.24957570063484,18.33187294006348,64712000,0
2005-01-12,18.359308746238817,18.41417401608864,18.256436528781805,18.366167068481445,72940600,0
2005-01-13,18.29759953481796,18.379896850227183,17.94097434646532,18.016414642333984,89861600,1
2005-01-14,18.105560090300653,18.139851709155405,17.85866697500398,17.913532257080078,92180800,0
2005-01-18,17.851811141920003,18.071272300843628,17.721505588274717,18.05069732666016,69146400,1
2005-01-19,17.975251918881817,18.009543532707927,17.77636579105565,17.817514419555664,58114100,0
2005-01-20,17.721509025374232,17.89982157860645,17.652927072886158,17.735225677490234,58380100,1
2005-01-21,17.79694569056915,17.92039161027387,17.58434155021239,17.59119987487793,76501000,1
2005-01-24,17.666639229620618,17.831235088854434,17.5843406459579,17.604915618896484,69010900,1
2005-01-25,17.666631569697557,17.96153284682879,17.659773248358338,17.84494400024414,67580700,0
2005-01-26,17.879250999077684,17.947832968438263,17.76266204359238,17.838102340698242,64974500,0
2005-01-27,17.7969466616411,17.940967563200797,17.728364719335257,17.90667724609375,93204100,0
2005-01-28,18.20158162754464,18.27702059900528,17.80380655942507,17.954687118530273,110466500,0
2005-01-31,18.071278542252543,18.187867486709354,17.940972943602667,18.023271560668945,71442100,0
2005-02-01,18.002693253666532,18.126140502414952,17.98211827617783,18.09870719909668,57981700,1
2005-02-02,18.11928316745805,18.17414846900306,18.02326921677728,18.14671516418457,79329500,0
2005-02-03,18.08499269918696,18.10556636954352,17.89982181742619,17.954687118530273,62545400,0
2005-02-04,17.947825071926168,18.08498895029928,17.927250097742693,18.05069732666016,61246500,0
2005-02-07,18.01640974251469,18.03698341172557,17.87238751757907,17.940969467163086,57763400,0
2005-02-08,17.961547838058443,18.064420127824857,17.94097285686831,17.995838165283203,61343700,0
2005-02-09,18.002689164064762,18.043837801602688,17.858668278636213,17.879241943359375,77874800,0
2005-02-10,17.899818324268818,17.920391990610412,17.831236384249515,17.872385025024414,71796400,0
2005-02-11,17.85181126456763,17.91353487945042,17.700930735702272,17.81066131591797,83835900,0
2005-02-14,17.783237026828232,17.913542637804106,17.769520371337663,17.838102340698242,58694000,0
2005-02-15,17.88625743924804,17.94129202503753,17.789947242148443,17.838102340698242,76551600,0
2005-02-16,17.796817699956883,17.83809329032532,17.659230649225606,17.741783142089844,57506600,1
2005-02-17,17.686749074800023,17.789940029429797,17.611077370099682,17.64547348022461,67024800,0
2005-02-18,17.638587764827953,17.645467246848217,17.473484132722742,17.528518676757812,77091100,0
2005-02-22,17.37029392144687,17.535397547799445,17.335897824671036,17.356534957885742,96419200,0
2005-02-23,17.3634217015768,17.439094720684775,17.315266621099923,17.335905075073242,83689400,0
2005-02-24,17.322148461822014,17.501011150869445,17.301510005041564,17.452856063842773,85236300,1
2005-02-25,17.42533868205668,17.459734799002934,17.30151056164575,17.370304107666016,62467700,0
2005-02-28,17.34965379415947,17.452844698737195,17.287739776263578,17.308378219604492,82728000,0
2005-03-01,17.32902756303275,17.480372306349203,17.287750650387434,17.390941619873047,56394800,0
2005-03-02,17.329030726783035,17.528530592480575,17.308392266692426,17.377185821533203,67739000,0
2005-03-03,17.404700161226067,17.411579647015813,17.294631012845603,17.315269470214844,52183600,0
2005-03-04,17.342786101246087,17.404700161226067,17.287751527055853,17.315269470214844,63058200,0
2005-03-07,17.31526908637593,17.741788010991122,17.308389600738685,17.521648406982422,80407400,0
2005-03-08,17.473485946655273,17.624831942558302,17.432210362375887,17.473485946655273,52871800,0
2005-03-09,17.46660413775577,17.59043218622994,17.39093246200921,17.411569595336914,62991800,0
2005-03-10,17.494121551513672,17.52851764746819,17.370293506674297,17.494121551513672,59132900,0
2005-03-11,17.507894941207855,17.528532090934743,17.239600185606015,17.260238647460938,60617900,0
2005-03-14,17.25334646239178,17.30150152581833,17.1707939878555,17.273984909057617,65550500,0
2005-03-15,17.267117388027454,17.36342758159607,17.122650785546547,17.136409759521484,71469400,0
2005-03-16,17.07447693993717,17.17766650718477,16.895614411048943,16.943769454956055,74841400,0
2005-03-17,16.950668240252522,16.97818618932744,16.87499650455256,16.88187599182129,60573200,0
