<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,8.59850514292942,8.66873555732834,8.56528810396217,8.607047080993652,8897600,0
2005-01-04,8.605147828578932,8.631721457522673,8.466584817602936,8.484617233276367,6463200,0
2005-01-05,8.50834428854482,8.531121582674334,8.376424677092475,8.383068084716797,8606400,1
2005-01-06,8.37737499773356,8.408694236362996,8.276774596886943,8.37263011932373,8915200,1
2005-01-07,8.382120566975287,8.399203722152926,8.307144537255496,8.323278427124023,6992800,1
2005-01-10,8.252099145189177,8.415338030770018,8.237863785230521,8.405847549438477,9981600,0
2005-01-11,8.351748836355073,8.394456353273766,8.272027945019612,8.365984916687012,6180800,0
2005-01-12,8.363140026634271,8.429574120073893,8.296705209117338,8.407745361328125,7448800,1
2005-01-13,8.39065941736194,8.422927185218771,8.317581221088748,8.353645324707031,5940000,1
2005-01-14,8.361242464235119,8.441912651062012,8.337515896105009,8.441912651062012,4488800,1
2005-01-18,8.427678349125824,8.465640283645342,8.38781715935635,8.418187141418457,7214400,0
2005-01-19,8.425780640644035,8.518789127084146,8.399206994254735,8.403952598571777,9040000,0
2005-01-20,8.389717294691811,8.389717294691811,8.231223943127755,8.23786735534668,7199200,0
2005-01-21,8.23786470371381,8.262539813111516,8.166684999675077,8.190411567687988,8354400,1
2005-01-24,8.206545825394056,8.237865070343549,8.163837566623629,8.191360473632812,6801600,0
2005-01-25,8.204641270170496,8.211284675668798,8.132513074496618,8.151494026184082,7143200,0
2005-01-26,8.175222412391998,8.196101898379803,8.038557212527852,8.081265449523926,9172000,0
2005-01-27,8.090755123321731,8.22267470904856,8.088857317546497,8.204642295837402,8648800,0
2005-01-28,8.204648256951218,8.229324094419486,8.117334646312752,8.208444595336914,10192800,1
2005-01-31,8.20939172507899,8.247354374981526,8.18091955663276,8.221729278564453,6747200,0
2005-02-01,8.221729779685486,8.285317529880817,8.190411261378529,8.26348876953125,7632000,0
2005-02-02,8.239763495877137,8.256846655852344,8.206546441502422,8.228374481201172,14760000,0
2005-02-03,8.228373997370818,8.242610083859319,8.189462799984849,8.218883514404297,9572000,0
2005-02-04,8.23881138810233,8.280570370097507,8.223626764516867,8.260640144348145,6468000,1
2005-02-07,8.209388944998082,8.243555245932333,8.163833635726721,8.180916786193848,12460800,0
2005-02-08,8.024325341235011,8.0670328726948,7.839257682062061,7.967381000518799,28357600,1
2005-02-09,7.967378908666489,7.967378908666489,7.862982184891965,7.9018940925598145,10495200,0
2005-02-10,7.9332095804586205,7.978764878899898,7.900941817290265,7.96832513809204,8768000,1
2005-02-11,7.968328884215019,8.057540993395179,7.938908177603368,8.033814430236816,6369600,0
