<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,22.784846021166587,23.034292835630502,22.663164138793945,22.663164138793945,2765600,1
2005-01-04,22.754423474451585,22.95519658417272,22.49280827020239,22.53539657592773,1776600,0
2005-01-05,22.511060249626446,22.590153813865847,22.38937837869398,22.498891830444336,2447200,1
2005-01-06,22.78483365204237,22.79091669845873,22.50496709913769,22.60231208801269,2592200,1
2005-01-07,22.657078958923137,22.657078958923137,22.438052055422425,22.498891830444336,1598800,1
2005-01-10,22.43805149697504,22.596236300628227,22.38329477246268,22.55364799499512,1528300,1
2005-01-11,22.48064855313214,22.851777350300228,22.36504968922697,22.69359016418457,2452600,1
2005-01-12,22.75442870040788,22.8396053314209,22.62666143299923,22.8396053314209,1753100,0
2005-01-13,22.83959792590537,22.906523063112672,22.6631593497931,22.68749618530273,1473700,1
2005-01-14,22.80309965689072,22.83351955015073,22.657083240887022,22.80918502807617,1494900,0
2005-01-18,22.68141348649891,23.10121582535843,22.523228678838315,23.08296203613281,2135200,1
2005-01-19,22.967371837512868,22.97345488833152,22.50498338594893,22.51106643676757,1864900,1
2005-01-20,22.3589565871537,22.47455307820689,22.11559286601297,22.182518005371094,1868800,1
2005-01-21,22.18251875331058,22.334620503929912,21.99999711674508,22.024333953857425,1259400,1
2005-01-24,22.389371296373763,22.60839813059079,21.902646287495884,22.49280166625977,2464300,1
2005-01-25,22.49281264734783,22.65708285320802,22.41371906951388,22.48064422607422,1840200,1
2005-01-26,22.498896082512417,22.876107864892564,22.480644610734227,22.80918502807617,2787900,0
2005-01-27,22.754421695090144,22.95519478911112,22.644908254392007,22.736167907714844,2074800,0
2005-01-28,22.784847378522034,22.845687162888314,22.267699927852647,22.45022392272949,2132700,0
2005-01-31,22.96737027794042,22.96737027794042,22.650998276399843,22.8396053314209,2535500,0
2005-02-01,23.35674616073097,23.51493329263337,22.675330918005656,23.393251419067383,8042200,1
2005-02-02,23.38108203558923,23.39325045453298,23.02212179985877,23.101215362548828,4631800,1
2005-02-03,23.10729518071241,23.36891034920243,23.05862383263125,23.36282730102539,3609400,0
2005-02-04,23.36282417143398,23.563597226817446,23.289813677760023,23.527091979980465,2574300,0
2005-02-07,23.527097935527863,23.855638277562047,23.49059500033865,23.7217903137207,3056300,0
2005-02-08,23.788708877054965,23.788708877054965,23.563598973757816,23.66094398498535,2069400,1
2005-02-09,23.612271892273075,23.636606403643444,23.14988136291504,23.14988136291504,4124200,1
2005-02-10,23.149890621743264,23.758297746209,23.02212568261882,23.600112915039062,4344800,1
2005-02-11,23.63661146956512,24.11725356568667,23.551434859293163,23.97123718261719,3635600,1
2005-02-14,23.83738241580784,23.892139129386408,23.606187145044107,23.74612045288086,2085500,1
2005-02-15,23.81913107878518,24.00773573253895,23.606187271114354,23.66094398498535,2299400,0
