<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>,<DES>
2005-01-03,12.268087539641463,12.346267121570746,12.138792010423948,12.174874305725098,9236061,0
2005-01-04,12.232006551750086,12.256061417855276,11.982435402743366,12.051593780517578,11680234,0
2005-01-05,12.06362170733632,12.180889822120715,12.01551069771316,12.03355312347412,8201616,0
2005-01-06,12.022927671283822,12.114009656654895,11.886302761477785,12.007746696472168,7844458,0
2005-01-07,12.08364865374621,12.095792918119525,11.931844061246872,11.965241432189943,8424450,1
2005-01-10,11.97738772073992,11.986495276642623,11.80129456973424,11.849871635437012,10087813,0
2005-01-11,11.852907229859326,11.862016073727135,11.7102114533734,11.719320297241213,9305224,0
2005-01-12,11.537147664512393,11.655554832403444,11.436955597092838,11.606976509094238,13962395,0
2005-01-13,11.38534721744584,11.418744588988282,11.188002273921336,11.263904571533203,20131371,0
2005-01-14,11.209258440641609,11.294269613585666,11.151572517542684,11.184969902038574,10249824,1
2005-01-18,11.184965541462876,11.439997673034668,11.08781013709435,11.439997673034668,13386518,0
2005-01-19,11.312480272485224,11.409635665390349,11.127278327941896,11.127278327941896,10558501,0
2005-01-20,10.98154691681996,11.136388218112224,10.869211828333164,11.011907577514648,13373397,0
2005-01-21,11.172818863371388,11.273009668322214,11.06959134901834,11.081735610961914,13119873,0
2005-01-24,11.081733613392847,11.354982033533448,11.042265413107003,11.187997817993164,11983128,0
2005-01-25,11.188000440480502,11.263902725653832,10.88439129978718,10.929931640625,11559365,1
2005-01-26,10.929929083278058,11.11209555533755,10.929929083278058,11.08780574798584,12685212,0
2005-01-27,11.005838520774942,11.02101949928081,10.847961753213614,10.890466690063477,16697454,0
2005-01-28,10.920824528317448,10.966366158825895,10.65061209887235,10.832777976989746,13421655,1
2005-01-31,10.869210369620347,10.899571026240457,10.696153339053009,10.805452346801758,11637869,1
2005-02-01,10.89046361808608,11.021016390477142,10.844923271081,10.893500328063965,8528862,0
2005-02-02,10.99065572986279,11.048341628946508,10.847958693225989,10.893500328063965,10697049,0
2005-02-03,10.923864723930372,10.987622776938071,10.860106670922672,10.899576187133787,6531359,0
2005-02-04,10.951182177115998,11.19710536889281,10.93903791736152,11.187997817993164,9405633,0
2005-02-07,11.218366306201268,11.227473863464812,11.087813490868353,11.133355140686035,6032873,0
2005-02-08,11.188005669517793,11.20014993779488,11.033164317234917,11.066561698913574,7971776,0
2005-02-09,11.081740435324091,11.090849279663578,10.929935807109604,10.948153495788574,6945671,0
2005-02-10,10.960299142387706,11.072634272323986,10.884396818728051,10.942081451416016,6677803,1
