rank,symbol,company_name,"market_cap_TWD_bn (2023-12-29)",portfolio_weight(%),note
1,2330,TSMC,153777.18,41.31%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
2,2317,Hon Hai,14486.82,3.89%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
3,2454,MediaTek,16236.42,4.36%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
4,2308,Delta Electronics,8143.3,2.19%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
5,2303,UMC,6590.69,1.77%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
6,2412,Chunghwa Telecom,9308.94,2.50%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
7,1303,Nan Ya Plastics,5274,1.42%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
8,2881,Fubon Financial,8433.7,2.27%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
9,2891,CTBC Financial,5551.86,1.49%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
10,2002,China Steel,4248.41,1.14%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
11,2882,Cathay Financial,6711.16,1.80%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
12,3711,ASE Technology,5913.27,1.59%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
13,2886,Mega Financial,5645.32,1.52%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
14,1301,Formosa Plastics,5041.67,1.35%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
15,1216,Uni-President,4233.1,1.14%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
16,2884,E.Sun Financial,4041.31,1.09%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
17,5871,Chailease-KY,3116.12,0.84%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
18,2892,First Financial,3731.92,1.00%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
19,2885,Yuanta Financial,3502.19,0.94%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
20,5880,Taiwan Cooperative Financial,3927.4,1.06%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
21,3034,Novatek,3146,0.85%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
22,3008,Largan Precision,3830.53,1.03%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
23,1101,Taiwan Cement,2694.3,0.72%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
24,1326,Formosa Chemicals,3651.52,0.98%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
25,2880,Hua Nan Financial,3049.15,0.82%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
26,2382,Quanta Computer,8671.6,2.33%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
27,2327,Yageo,2502.4,0.67%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
28,2883,CDIB Financial,2113.3,0.57%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
29,2207,Hotai Motor,3949.85,1.06%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
30,2357,ASUS,3635.81,0.98%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
31,2890,SinoPac Financial,2440.1,0.66%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
32,2379,Realtek,2418.2,0.65%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
33,2887,Taishin Financial,2258.3,0.61%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
34,2603,Evergreen Marine,3037.1,0.82%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
35,3045,Taiwan Mobile,3671.14,0.99%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
36,1590,Airtac-KY,2020,0.54%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
37,3037,Unimicron,2682,0.72%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
38,5876,Shanghai Commercial Bank,2269.9,0.61%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
39,2912,President Chain Store,2801.8,0.75%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
40,2395,Advantech,3187.04,0.86%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
41,2801,Changhua Bank,1943.6,0.52%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
42,4904,Far EasTone,2600.3,0.70%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
43,6505,Formosa Petrochemical,7687.45,2.07%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
44,4938,Pegatron,2326,0.62%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
45,2301,Lite-On Technology,2680.5,0.72%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
46,2345,Accton Technology,2918.1,0.78%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
47,3231,Wistron,2801.3,0.75%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
48,6669,Wiwynn,3190.83,0.86%,official; year-end 2023 market cap at 2023-12-29 close (TWD bn)
49,9910,Feng Tay,1728.1,0.46%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
50,2408,Nanya Technology,2416.5,0.65%,supplemental; historical market cap from StockAnalysis at 2023-12-29 (TWD bn)
Total,,,372237.5,,
