date,1101.TW,1216.TW,1301.TW,1303.TW,1326.TW,2002.TW,2207.TW,2301.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2379.TW,2382.TW,2395.TW,2408.TW,2412.TW,2454.TW,2603.TW,2801.TW,2880.TW,2881.TW,2882.TW,2883.TW,2884.TW,2885.TW,2886.TW,2887.TW,2890.TW,2891.TW,2892.TW,2912.TW,3008.TW,3034.TW,3037.TW,3045.TW,3231.TW,3711.TW,5880.TW,6505.TW,9910.TW
2024-01-02,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-03,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-04,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-05,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-08,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-09,53,0,57,46,100,21,0,20,24,82,0,0,0,100,0,100,0,5,0,0,0,41,3,0,100,0,24,0,18,0,90,22,0,0,0,0,0,0,14,63,0,0,24,20
2024-01-10,0,0,0,0,0,0,0,-20,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,2,0,2,0,-41,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,0
2024-01-11,0,0,-86,0,-16,0,0,-94,0,70,0,100,0,100,0,-98,0,0,0,0,0,0,0,0,0,0,22,0,-67,0,-82,0,0,0,0,0,0,0,-61,-79,0,0,0,-54
2024-01-12,0,0,-86,0,-16,0,0,-6,0,16,0,100,0,100,0,-98,0,0,0,0,0,0,0,0,0,0,25,0,0,0,-82,0,0,0,0,0,0,0,0,-79,0,0,0,-54
2024-01-15,0,0,-84,0,-25,0,0,0,0,0,0,92,0,100,0,-100,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-92,0,0,0,0,0,0,0,0,-84,0,0,0,-12
2024-01-16,0,0,-86,0,-30,0,0,0,0,0,0,72,0,100,0,-100,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-91,0,0,0,0,0,0,0,0,-75,0,0,0,0
2024-01-17,0,0,0,0,-15,0,0,0,0,0,0,2,0,88,0,-90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-75,0,0,0,0,0,0,0,0,-59,0,0,0,0
2024-01-18,0,0,0,0,-30,0,0,0,0,0,0,1,0,89,0,-100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-91,0,0,0,0,0,0,0,0,-2,0,0,0,0
2024-01-19,0,0,0,0,-30,0,0,0,0,0,0,3,0,15,0,-14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,0,0,0,0,-30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-23,0,0,0,0,-30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-24,0,0,0,0,-19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-25,0,0,0,0,-14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-26,0,0,0,0,-14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
