date,a2c,ppo,ddpg,td3,sac,mvo,twii,0050
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,987624.3375226462,1000000.0,1000000.0
2024-01-03,998011.0093314248,999734.9565110364,984992.7488163972,978632.9807951092,989677.6111546473,975030.9477226143,983507.7192358709,982579.7557372032
2024-01-04,999134.8530651327,999770.4995130005,977654.184969932,971427.307689487,983304.6662885727,972985.8914251947,982966.6479782303,982209.0881758971
2024-01-05,996105.6277247556,999447.4476599509,965903.4511061274,960452.6724813571,968256.5497910538,968718.9776527778,981257.77735235,979614.5283586135
2024-01-08,1000753.0191765518,1000239.0610733512,966712.394791659,961995.719842731,967427.6970843762,976765.9559780842,984255.4390187204,984062.3128705686
2024-01-09,1003894.6306207357,1001011.4651737433,966979.3783312403,960924.9957101932,968840.4679148606,980589.0607116297,982173.5289693555,985915.53756524
2024-01-10,996694.1896023129,999810.7288220451,952303.7348776422,951330.4132392993,954368.2953770991,972456.0564964797,978260.6626646065,980726.5310425316
2024-01-11,1003458.8875016023,1001033.9548773775,961723.7867041193,954710.9819877734,960682.9872697506,981251.0964464006,982724.1176551026,984803.6479931808
2024-01-12,995953.8985363077,1000230.6556567906,969233.1126986109,962101.5987041583,965896.1358643488,978983.9093178719,980904.3197637051,983320.9777479564
2024-01-15,1005204.2124370169,1001070.3700376349,968521.2139807306,965657.0264356723,965592.8390843542,979596.7638240297,982808.1335721806,983320.9777479564
2024-01-16,992545.9458521956,998674.2822519462,957131.6142569147,952393.2796028247,954741.4889072771,966593.6822653604,971608.7461882427,975908.0789692705
2024-01-17,976404.5851789018,996965.5393950975,934171.7439508997,927473.9358947864,937929.687320591,954719.4813218866,961242.2978572113,944773.9267211609
2024-01-18,969985.8123710561,997152.447106151,932261.027106341,930493.0840805164,940403.1204283959,950146.0015498202,964938.998208645,951074.9359277876
2024-01-19,991057.8363188753,1004299.4778012269,941115.0824118219,940523.9028747668,954050.3783095164,966034.8085097561,990352.7191674985,985174.202442628
