date,1101.TW,1216.TW,1301.TW,1303.TW,1326.TW,2002.TW,2207.TW,2301.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2379.TW,2382.TW,2395.TW,2408.TW,2412.TW,2454.TW,2603.TW,2801.TW,2880.TW,2881.TW,2882.TW,2883.TW,2884.TW,2885.TW,2886.TW,2887.TW,2890.TW,2891.TW,2892.TW,2912.TW,3008.TW,3034.TW,3037.TW,3045.TW,3231.TW,3711.TW,5880.TW,6505.TW,9910.TW
2024-01-02,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-03,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-04,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-05,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-08,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-09,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-10,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-11,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-12,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-15,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-16,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-17,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-01-18,10,7,0,9,5,7,0,0,0,0,0,3,10,13,0,0,0,0,0,13,0,10,4,3,0,0,19,0,0,2,4,0,0,1,5,0,0,6,14,0,0,0,0,8
2024-01-19,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-22,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-23,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-24,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-25,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-26,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-29,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-30,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-01-31,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-01,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-02,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-05,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-15,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-16,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-19,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-20,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-21,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-22,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-23,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-26,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-27,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-02-29,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-03-01,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-03-04,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-03-05,9,7,0,8,6,5,0,0,4,0,0,0,11,13,1,0,0,0,0,12,0,10,10,3,0,0,21,0,0,0,9,0,2,2,4,0,0,7,10,0,0,0,0,11
2024-03-06,9,7,0,8,6,5,0,0,4,0,0,0,11,13,1,0,0,0,0,12,0,10,10,3,0,0,21,0,0,0,9,0,2,2,4,0,0,7,10,0,0,0,0,11
2024-03-07,9,7,0,8,6,5,0,0,4,0,0,0,11,13,1,0,0,0,0,12,0,10,10,3,0,0,21,0,0,0,9,0,2,2,4,0,0,7,10,0,0,0,0,11
2024-03-08,9,7,0,8,6,5,0,0,4,0,0,0,11,13,1,0,0,0,0,12,0,10,10,3,0,0,21,0,0,0,9,0,2,2,4,0,0,7,10,0,0,0,0,11
2024-03-11,-1,0,0,0,0,-3,0,0,0,0,0,0,10,9,0,0,0,0,0,1,0,15,12,0,0,0,15,0,0,0,6,0,0,0,-6,6,0,0,0,0,0,0,0,0
2024-03-12,-2,0,0,-3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,0,-10,2,0,1,0,10,0,0,-8,0,0,0,0,-7,0,0,-8,-11,0,0,0,0,1
2024-03-13,-2,0,0,-3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,0,-10,1,0,0,0,10,0,0,-8,0,0,0,0,-7,0,0,-8,-11,0,0,0,0,1
2024-03-14,-2,0,0,-3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,-1,0,-10,1,0,1,0,10,0,0,-8,0,0,0,0,-7,0,0,-8,-11,0,0,0,0,0
2024-03-15,-375,-287,0,-356,-221,-240,0,0,-64,0,0,-75,-508,-506,-28,0,0,0,0,-491,0,-395,-228,-111,-2,0,-820,0,0,-50,-178,0,-8,-45,-174,-6,0,-286,-489,0,0,0,0,-330
2024-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-19,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-20,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-21,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-22,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-25,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-26,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-27,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-28,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-03-29,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-04-01,10,7,0,9,4,8,0,0,0,0,0,4,9,12,0,0,0,0,0,12,0,10,4,4,0,0,18,0,0,2,3,0,2,1,5,0,0,5,15,0,0,0,0,7
2024-04-02,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-04-03,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-04-08,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
2024-04-09,9,7,0,9,6,5,0,0,2,0,0,1,13,12,1,0,0,0,0,12,0,10,5,2,0,0,19,0,0,2,4,0,-1,1,5,0,0,9,12,0,0,0,0,8
