date,1101.TW,1216.TW,1301.TW,1303.TW,1326.TW,2002.TW,2207.TW,2301.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2379.TW,2382.TW,2395.TW,2408.TW,2412.TW,2454.TW,2603.TW,2801.TW,2880.TW,2881.TW,2882.TW,2883.TW,2884.TW,2885.TW,2886.TW,2887.TW,2890.TW,2891.TW,2892.TW,2912.TW,3008.TW,3034.TW,3037.TW,3045.TW,3231.TW,3711.TW,5880.TW,6505.TW,9910.TW
2024-01-02,0,48,52,0,0,0,41,9,59,0,0,37,0,46,0,12,0,53,0,26,0,0,43,0,2,16,0,0,54,0,0,12,9,0,67,87,0,0,0,2,0,0,0,0
2024-01-03,0,48,52,0,0,0,41,9,59,0,0,37,0,46,0,12,0,53,0,26,0,0,43,0,2,16,0,0,54,0,0,12,9,0,67,87,0,0,0,2,0,0,0,0
2024-01-04,0,48,52,0,0,0,41,9,59,0,0,37,0,46,0,12,0,53,0,26,0,0,43,0,2,16,0,0,54,0,0,12,9,0,67,87,0,0,0,2,0,0,0,0
2024-01-05,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2024-01-08,24,97,-12,0,94,0,-26,40,8,53,0,-87,0,70,44,-36,0,-27,0,48,60,0,27,59,-6,93,38,0,-94,0,0,57,71,0,85,-60,3,0,0,-6,50,0,0,31
2024-01-09,-11,0,0,0,0,0,0,0,0,-20,0,0,0,0,-44,0,0,0,0,0,-13,0,4,-38,0,0,-38,0,0,0,0,0,0,0,2,23,-3,0,0,0,0,0,0,-31
2024-01-10,0,98,-35,0,95,0,-44,28,12,49,0,-24,0,69,33,0,0,-59,0,66,56,0,34,63,0,95,33,0,-69,0,0,60,76,0,83,-68,4,0,0,6,55,0,0,61
2024-01-11,-13,0,0,0,0,0,0,0,0,-30,0,0,0,0,-33,0,0,0,0,0,-7,0,0,-45,0,0,-26,0,1,0,0,0,0,0,8,30,-4,0,0,0,-1,0,0,-61
2024-01-12,0,97,-37,0,92,0,-40,22,9,41,0,0,0,59,0,0,0,-55,0,67,39,0,38,58,0,94,9,0,-1,0,0,60,74,0,81,-59,0,0,0,24,54,0,0,60
2024-01-15,0,0,0,0,0,0,0,0,4,-30,0,0,0,0,0,0,0,0,0,0,-7,0,0,-45,0,0,-16,0,1,0,0,0,0,0,6,28,0,0,0,0,-1,0,0,-60
2024-01-16,3,98,-54,0,96,0,-13,36,-12,58,0,0,0,57,9,0,0,-18,0,72,52,0,37,70,0,97,23,0,-1,0,0,65,75,0,84,-82,17,0,0,22,57,0,0,70
2024-01-17,-3,0,0,0,0,0,0,0,3,-30,0,0,0,0,-9,0,0,0,0,0,-7,0,0,-45,0,0,-23,0,1,0,0,0,0,0,2,33,-17,0,0,0,-1,0,0,-70
2024-01-18,14,96,-18,0,94,0,0,45,-17,53,0,0,0,37,0,0,0,0,0,56,25,0,59,67,0,97,0,0,-1,0,20,66,75,0,86,-75,24,0,0,37,70,0,0,65
2024-01-19,-14,0,0,0,0,0,0,0,1,-30,0,0,0,0,0,0,0,0,0,0,-7,0,0,-45,0,0,0,0,1,0,-20,0,0,0,0,31,-24,0,0,0,-1,0,0,-65
2024-01-22,31,95,0,0,93,0,0,46,-35,50,0,0,0,21,0,0,0,0,3,50,13,0,42,68,0,97,0,0,-1,0,22,70,73,0,85,-71,18,0,0,46,67,0,0,60
2024-01-23,-31,0,0,0,0,0,0,0,5,-30,0,0,0,0,0,0,0,0,-3,0,-7,0,0,-45,0,0,0,0,0,0,-22,0,0,0,0,33,-18,0,0,0,-1,0,0,-60
2024-01-24,0,88,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,-11,0,0,9,0,93,0,0,0,0,0,64,73,0,78,-23,0,0,0,54,59,0,0,50
2024-01-25,0,87,0,0,74,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,91,0,0,0,0,0,1,8,0,20,-2,0,0,0,0,0,0,0,0
2024-01-26,0,85,0,0,0,0,0,-22,0,-13,0,0,0,0,0,0,0,0,0,0,-15,0,-8,0,0,79,0,0,0,0,0,0,7,0,39,0,0,0,0,0,0,0,0,0
2024-01-29,0,83,0,0,0,0,0,-19,0,-18,0,0,0,0,0,0,0,0,0,1,-12,0,-1,0,0,72,0,0,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0
2024-01-30,0,83,0,0,0,0,0,-13,0,-23,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,72,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0
2024-01-31,0,84,0,0,0,0,0,-11,0,-23,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,74,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
2024-02-01,0,79,0,0,0,0,0,-12,0,-22,0,0,0,0,0,0,0,0,0,1,-8,0,0,-2,0,65,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,-11
2024-02-02,0,83,0,0,0,0,0,-10,0,-23,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,73,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0
2024-02-05,0,73,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11
2024-02-15,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-17
2024-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-20,0,30,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-21,0,80,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2024-02-22,0,77,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,-6,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-10
2024-02-23,0,79,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,-3,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
2024-02-26,0,3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-27,0,50,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
