date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_D,ppo_D,ddpg_D,td3_D,sac_D
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,989723.6820099273,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-03,983389.0738548636,980077.012629382,978734.2632197033,977250.3039710792,979203.2706132444,976763.1892155419,980102.0683977993,983507.7192358709,982579.7557372032,983731.0586255988,980090.9316593144,986276.450384666,982015.3978919706,979527.0739229736
2024-01-04,986548.4731037419,981382.4790703494,981110.7181521987,979584.1356682606,981273.228625975,977836.906718797,981422.2522125195,982966.6479782303,982209.0881758971,983542.9115308112,981392.1342347008,989048.4798028008,984225.2105757556,980040.2627555504
2024-01-05,982046.0433691037,977062.3787406847,976211.6834994344,973842.7164581515,976264.9457939139,973825.4350321197,977119.4943352274,981257.77735235,979614.5283586135,980755.094990456,977078.675630833,987354.1352422542,980137.0423437988,975806.5569096758
2024-01-08,985802.4197308787,982490.195113781,983836.8585779599,980013.2522360934,983484.7705342665,974229.3458327558,982457.5569163567,984255.4390187204,984062.3128705686,985626.7927348424,982479.2044400964,989892.027283536,981178.8220481016,982666.9899034516
2024-01-09,983732.2048593827,982323.6481158106,985978.1891154844,981847.4817104739,984808.120220176,975254.4600130059,982210.8392126127,982173.5289693555,985915.53756524,982049.9021066576,982297.2998521985,984539.9218931964,978426.303985165,983107.2712995976
2024-01-10,980124.350450573,978239.1184509344,982644.5869175143,977937.7707311679,981601.199115064,975058.2626464787,978123.562655024,978260.6626646065,980726.5310425316,980196.7280820468,978209.0433637168,979225.4933552392,972530.6004003868,979579.6929940032
2024-01-11,983387.5231689764,981432.7425280218,986827.4006757166,980292.700449184,985143.9168057367,991972.0131502117,981381.3168161224,982724.1176551026,984803.6479931808,984485.8006252662,981393.5399254488,983791.5727509336,975101.4633127616,983281.3710902662
2024-01-12,988402.9310626847,980699.1345199432,985313.3556178189,979746.5749309679,985128.2431742604,988816.3889020628,980684.3802779925,980904.3197637051,983320.9777479564,983377.8824753804,980668.5317375506,987665.4212789686,976144.9829266152,980446.717511788
2024-01-15,985027.6451516966,981673.2046519299,986018.2215593556,981424.8832505118,985869.8294670635,986331.0718914685,981580.5068859403,982808.1335721806,983320.9777479564,986054.8486064908,981627.7163841262,986724.138842802,977208.4734103832,981504.6740538852
2024-01-16,969410.803432793,969156.1879556861,973209.1251866316,969471.2175240166,973588.014261595,977676.4241508793,969146.0526826241,971608.7461882427,975908.0789692705,972340.4678907658,969097.3899513986,972690.8678696876,960937.0457264344,969660.4744354392
2024-01-17,957847.305416034,960252.4999098617,967109.8293855349,964029.854960827,966867.1158234497,966068.6741049744,960351.3205747163,961242.2978572113,944773.9267211609,958560.185425929,960182.6374833434,957186.139633246,942882.2237833372,962965.6818616908
2024-01-18,959568.3963807895,965986.2913879177,973385.2816773404,972127.1901439854,973243.9974902521,962230.6221561264,966094.8704023886,964938.998208645,951074.9359277876,962611.5149989796,965923.4123758436,958377.5871764354,942988.2503688756,969241.4683447907
