agent,final_$,return_%,sharpe,max_dd_%
A2C,1545040.3400108982,54.50403400108983,1.0496905684560733,-27.124395833444925
PPO,2021430.1190357774,102.14301190357773,1.5084562033143343,-25.7493807691916
DDPG,2163208.1353679835,116.32081353679835,1.5253569012759227,-25.584899589653
TD3,2400570.8876759443,140.05708876759445,1.579310964945075,-28.781280528599197
SAC,2171939.9292930095,117.19399292930093,1.5722862022826218,-25.08106974290505
MVO,1216798.1846007109,22.94322210514772,0.5944877504072279,-22.983098429241718
CAP_BH,2091574.9916516156,109.15749916516155,1.4831651693299768,-26.792630037734206
TWII,1821362.0314786201,82.136203147862,1.3277883192482605,-28.693157544286592
0050,2191252.92422433,119.12529242243299,1.5782786881544448,-28.47358057051449
A2C_D,1518591.1654780293,51.85911654780293,1.2665983209431713,-16.898203041783052
PPO_D,2017005.8535319883,101.70058535319883,1.505535227905566,-25.7765817437712
DDPG_D,1491637.5282753145,49.16375282753145,1.1060208522698496,-19.676082220236474
TD3_D,1523546.8101068805,52.354681010688054,1.0102552076607378,-22.752105030692015
SAC_D,2195983.524011845,119.59835240118446,1.5853867940871031,-26.99595808419817
