date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050,a2c_75,ppo_75,ddpg_75,td3_75,sac_75
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,989723.6820099273,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-01-03,976668.0971986057,980071.6348497879,977228.6250056044,978969.6495116787,983366.0630620898,976763.1892155419,980102.0683977993,983507.7192358709,982579.7557372032,976754.8365050672,980110.3400495516,979282.9970586564,985487.1909645055,986032.4128583416
2024-01-04,978979.5114609556,981376.5700495618,978807.0609516614,980114.3753647394,984316.6487861662,977836.906718797,981422.2522125195,982966.6479782303,982209.0881758971,978900.2701902548,981413.8444732772,981655.3010902016,984669.3559934632,983799.8533642225
2024-01-05,973179.0757273958,977063.1059503492,973135.723538171,975850.6958486672,980400.8593180683,973825.4350321197,977119.4943352274,981257.77735235,979614.5283586135,974244.2091230466,977111.4386923373,976883.419636852,982419.0542594024,982210.9937433072
2024-01-08,982193.8622682174,982485.2643409766,979353.438577797,982431.9216257686,979566.6487774405,974229.3458327558,982457.5569163567,984255.4390187204,984062.3128705686,982339.973129385,982500.2081340688,982783.8964010652,982996.825589881,981018.6448623356
2024-01-09,985189.5855753004,982311.4134334822,981394.7019363097,984039.8338593798,976080.8929182696,975254.4600130059,982210.8392126127,982173.5289693555,985915.53756524,984541.1506472029,982295.8843677392,984989.1245059004,978843.4459794408,974703.4724452498
2024-01-10,981827.1693277771,978214.7684189769,977815.8776007385,980783.4891313292,970170.8744131007,975058.2626464787,978123.562655024,978260.6626646065,980726.5310425316,980524.832981197,978195.2755892528,981452.1900487192,974279.5281943307,969773.872973148
2024-01-11,985864.3307697169,981395.974981752,978760.5992082788,984032.2613249106,973362.7518672261,991972.0131502117,981381.3168161224,982724.1176551026,984803.6479931808,985501.613618884,981390.4944854052,985622.851994146,974721.4502498847,974884.1610355084
2024-01-12,985099.6932745546,980661.2007416711,977021.0459884517,982284.9319346764,975237.5589523262,988816.3889020628,980684.3802779925,980904.3197637051,983320.9777479564,983368.6268195942,980672.203349239,984859.8472792894,973074.9121413084,974223.7229710942
2024-01-15,987780.6631063743,981636.4563083227,978926.3678302949,984559.0454823396,974014.805678723,986331.0718914685,981580.5068859403,982808.1335721806,983320.9777479564,985253.9038065398,981634.1574333452,985033.8958368226,973795.1785407813,974185.108553025
2024-01-16,975440.3139618718,969103.1141208893,966215.993417655,972865.1994554907,961663.9817767752,977676.4241508793,969146.0526826241,971608.7461882427,975908.0789692705,975422.6317518748,969095.0660496076,974146.8882495748,959536.4856681846,963388.6868959614
2024-01-17,971365.2627470654,960198.7052962909,960332.1843745413,965859.0999970173,945231.9624649936,966068.6741049744,960351.3205747163,961242.2978572113,944773.9267211609,969799.3368985628,960141.1145500608,969499.153022693,942572.7768204568,944438.761867689
2024-01-18,982032.7607760517,965969.5738853221,969425.9478135322,974393.1569947291,946604.5394783024,962230.6221561264,966094.8704023886,964938.998208645,951074.9359277876,977910.629184776,965852.6086146828,977763.2856917392,944365.0497424834,946463.388220192
2024-01-19,1032389.2249800208,1001015.2807481337,1011818.4670866475,1014066.991629168,965663.9401790154,980223.0005127944,1001772.7861185926,990352.7191674985,985174.202442628,1023786.1511910522,1000753.1788633874,1021319.855079338,952745.0067216232,959019.7405758474
2024-01-22,1035107.3188624833,1005617.0073416755,1012111.1203712315,1016705.8517259479,975614.6155679089,997687.4222164602,1006712.3314332613,997834.621012184,991845.8792105607,1029691.130264684,1005380.60711255,1025882.9605299584,952390.5959136648,964086.654891252
2024-01-23,1037878.5092836999,1008613.6740141298,1015501.0014959822,1019469.0554060724,977334.7018613822,1000152.8201836419,1009610.8414778084,1001166.7054109861,993699.1039052322,1032156.4792003076,1008384.3798809148,1028039.4908940817,957926.3777506588,969859.8214175946
2024-01-24,1038909.1442935539,1009318.7302339615,1016554.0409921905,1021050.2130644561,979393.6965343787,991551.1968427422,1009982.2966603335,1001236.171696591,993328.4363439261,1031136.9946493484,1009070.8005140504,1028184.2467090636,960729.6652686602,966167.4187067448
2024-01-25,1057092.7099020493,1020863.633513132,1033803.370733557,1035928.7665835998,983918.7479048168,991517.8350843412,1021867.4596591768,1008337.7046041926,1005559.6740840145,1048789.2833774977,1020575.1210373852,1043125.8512497824,964912.9316913805,968981.4853494676
2024-01-26,1058299.5284598053,1021196.3535366142,1035624.5512890003,1036091.4403254071,980788.0487922087,987053.8584836569,1022020.4894313975,1007912.5928154357,1005559.6740840145,1049254.6401406396,1020895.1670265272,1043554.2649023804,965570.0467995512,973240.3047722584
2024-01-29,1065534.278424105,1027654.4028885167,1041411.6066858706,1041521.126892752,986547.6113288923,997559.6616322859,1028584.4510244844,1014891.6025106318,1011860.6832906412,1055681.2464630003,1027357.4751571754,1050480.8682312611,968027.487391788,979520.1261662828
2024-01-30,1059282.055549148,1020870.1533136225,1033738.9048970003,1035213.1411918984,983647.2434158799,994904.0663773817,1022004.8926595333,1010130.7005428764,1009266.1234733575,1048085.2474702208,1020570.5831864848,1045203.7432769064,960140.9372324168,969514.9077092888
2024-01-31,1042662.2088699673,1010869.3579022301,1021932.6460953717,1023217.528432147,982101.1100569895,995008.4168024145,1011351.9214780626,1002005.223645886,995922.9961612098,1032623.1883964376,1010601.5948753796,1031928.9965386436,960009.9837587927,967680.0200069617
2024-02-01,1041030.5545663611,1013784.9620163266,1022143.6703490445,1024678.9523454631,982578.1365808338,1003669.1226139043,1013863.6715528291,1006404.791532771,995922.9961612098,1032556.798132056,1013543.5554697184,1032319.1154224623,969770.0546445672,976068.4756927224
2024-02-02,1050482.6435157573,1019595.8469361946,1028105.4565211665,1031646.2052385578,983678.4116633722,1016661.55045841,1020245.7659251847,1011547.7033734907,1001482.6702452241,1039834.228237964,1019365.4184905774,1040862.4023317453,968956.561747649,976624.8303722218
