date,a2c,ppo,ddpg,td3,sac,mvo,cap_bh,twii,0050
2024-01-02,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,989723.6820099272,1000000.0,1000000.0,1000000.0
2024-01-03,976754.8365050672,980110.3400495516,979282.9970586564,985487.1909645055,986032.4128583416,976763.189215542,980102.0683977992,983507.7192358708,982579.7557372032
2024-01-04,978900.2701902548,981413.8444732772,981655.3010902016,984669.3559934632,983799.8533642225,977836.906718797,981422.2522125196,982966.6479782304,982209.0881758971
2024-01-05,974244.2091230466,977111.4386923373,976883.419636852,982419.0542594024,982210.9937433072,973825.4350321196,977119.4943352274,981257.77735235,979614.5283586135
2024-01-08,982339.973129385,982500.2081340688,982783.8964010652,982996.825589881,981018.6448623356,974229.3458327558,982457.5569163568,984255.4390187204,984062.3128705686
2024-01-09,984541.1506472029,982295.8843677392,984989.1245059004,978843.4459794408,974703.4724452498,975254.460013006,982210.8392126128,982173.5289693556,985915.53756524
2024-01-10,980524.832981197,978195.2755892528,981452.1900487192,974279.5281943307,969773.872973148,975058.2626464788,978123.562655024,978260.6626646064,980726.5310425316
2024-01-11,985501.613618884,981390.4944854052,985622.851994146,974721.4502498847,974884.1610355084,991972.0131502117,981381.3168161224,982724.1176551026,984803.6479931808
2024-01-12,983368.6268195942,980672.203349239,984859.8472792894,973074.9121413084,974223.7229710942,988816.3889020628,980684.3802779923,980904.3197637053,983320.9777479564
2024-01-15,985253.9038065398,981634.1574333452,985033.8958368226,973795.1785407813,974185.108553025,986331.0718914684,981580.5068859404,982808.1335721806,983320.9777479564
2024-01-16,975422.6317518748,969095.0660496076,974146.8882495748,959536.4856681846,963388.6868959614,977676.4241508791,969146.052682624,971608.7461882428,975908.0789692705
2024-01-17,969799.3368985628,960141.1145500608,969499.153022693,942572.7768204568,944438.761867689,966068.6741049744,960351.3205747164,961242.2978572112,944773.9267211609
2024-01-18,977910.629184776,965852.6086146828,977763.2856917392,944365.0497424834,946463.388220192,962230.6221561264,966094.8704023886,964938.998208645,951074.9359277876
2024-01-19,1023786.1511910522,1000753.1788633874,1021319.855079338,952745.0067216232,959019.7405758474,980223.0005127944,1001772.7861185926,990352.7191674984,985174.202442628
2024-01-22,1029691.130264684,1005380.60711255,1025882.9605299584,952390.5959136648,964086.654891252,997687.4222164602,1006712.3314332612,997834.621012184,991845.8792105607
2024-01-23,1032156.4792003076,1008384.3798809148,1028039.4908940817,957926.3777506588,969859.8214175946,1000152.820183642,1009610.8414778084,1001166.705410986,993699.1039052322
2024-01-24,1031136.9946493484,1009070.8005140504,1028184.2467090636,960729.6652686602,966167.4187067448,991551.1968427422,1009982.2966603336,1001236.171696591,993328.4363439261
2024-01-25,1048789.2833774977,1020575.1210373852,1043125.8512497824,964912.9316913805,968981.4853494676,991517.8350843412,1021867.4596591768,1008337.7046041926,1005559.6740840145
2024-01-26,1049254.6401406396,1020895.1670265272,1043554.2649023804,965570.0467995512,973240.3047722584,987053.8584836568,1022020.4894313976,1007912.5928154356,1005559.6740840145
2024-01-29,1055681.2464630003,1027357.4751571754,1050480.8682312611,968027.487391788,979520.1261662828,997559.661632286,1028584.4510244844,1014891.6025106318,1011860.6832906412
2024-01-30,1048085.2474702208,1020570.5831864848,1045203.7432769064,960140.9372324168,969514.9077092888,994904.0663773816,1022004.8926595332,1010130.7005428764,1009266.1234733575
2024-01-31,1032623.1883964376,1010601.5948753796,1031928.9965386436,960009.9837587927,967680.0200069617,995008.4168024143,1011351.9214780626,1002005.223645886,995922.9961612098
2024-02-01,1032556.798132056,1013543.5554697184,1032319.1154224623,969770.0546445672,976068.4756927224,1003669.1226139044,1013863.6715528292,1006404.791532771,995922.9961612098
2024-02-02,1039834.228237964,1019365.4184905774,1040862.4023317453,968956.561747649,976624.8303722218,1016661.55045841,1020245.7659251848,1011547.7033734908,1001482.6702452241
2024-02-05,1049707.2601731375,1024202.4552639368,1049862.1871080785,964768.6399013262,970030.2835212136,1010825.565248523,1025634.807168128,1013571.9618755896,1007783.5663399921
2024-02-15,1106019.257658485,1061755.6216400082,1100717.7360686818,965921.2069204408,970121.971396166,1014806.08445941,1065556.875983495,1044293.7822204595,1055226.1863906977
2024-02-16,1091610.5259242195,1054376.8025857937,1088198.6327984375,970307.941360098,974609.867129279,1014835.3341841174,1056473.1588799811,1042203.448700242,1047442.6200507059
2024-02-19,1087984.15811647,1055169.1434422936,1084673.340129241,979272.6379820718,988150.3907051744,1018783.5150219096,1056415.9763100403,1043802.595413584,1045960.0629173404
2024-02-20,1098669.5085373586,1064568.5188278104,1095614.567753259,984713.738207034,992879.5957931728,1023456.9408084576,1066087.019455624,1050375.965759138,1050037.0667561304
2024-02-21,1091102.9176736071,1057750.138056581,1088072.1864912277,982673.89484488,987486.6713593124,1018122.2874574396,1058905.2237844751,1046071.572153318,1046701.2849280937
2024-02-22,1104055.6762471683,1068613.1792600714,1102096.5433075684,983936.8819960672,988666.9885961245,1016350.8671213116,1070278.8587531932,1055955.6947312283,1058561.9682187347
2024-02-23,1108878.540014306,1072922.3310206071,1110259.1551929086,978289.1766598116,983607.895073094,1012385.9842709084,1075114.4095946762,1057995.0498434275,1065604.1994361146
2024-02-26,1111173.5819333324,1075163.278863216,1112178.138725425,979317.5332792926,986374.6833770134,1013349.9733451396,1077499.20468315,1061291.9088186629,1067086.75656948
2024-02-27,1108363.2609365026,1070819.8696801837,1107825.862152217,977415.7418381302,978237.608456742,998880.4160383,1073261.321548478,1056047.0401619058,1062639.0851693838
2024-02-29,1106580.356935993,1074021.6480334394,1106708.579910984,988300.2468406444,989902.7286379734,1025311.6925007348,1075630.937342299,1062340.3574505325,1062268.4176080779
2024-03-01,1104937.3656775802,1069733.5585997617,1103732.2042601537,982177.7560235026,986294.3360177354,1031744.8369397392,1071616.1329827846,1060612.998947066,1058561.9682187347
2024-03-04,1142464.5330362555,1097007.5042756663,1141717.7137769638,987653.8430615546,992159.5129136402,1029023.2282854584,1100786.3850573967,1081302.2467147096,1089325.4529055383
2024-03-05,1149277.8705742497,1100703.5270669544,1148356.1600810569,984589.5668830508,990205.6971029092,1035331.7505113528,1105270.1215335068,1085873.2377032368,1098220.9088175895
2024-03-06,1158103.9229615205,1107721.6608108317,1156813.8572501978,988916.6706756558,993788.6516374344,1040192.702007039,1112624.6437971033,1092176.0724199703,1103410.0284521568
2024-03-07,1186044.8320614258,1126468.2040360651,1181658.272322029,991265.0647839832,995728.9084372632,1031160.6587637432,1133329.148093198,1103046.0692748432,1128984.506616252
2024-03-08,1211062.5377596242,1141258.4410344516,1198896.7113367834,990361.21494995,997590.1987402588,1021633.5153630432,1149909.3640381375,1108187.887158309,1144922.1937456832
2024-03-11,1193641.9503001254,1134659.234472426,1188171.3710855392,1000636.4489807616,1006711.4881924244,1027629.3785701984,1141046.5298055406,1104869.8054123537,1133432.1780163483
2024-03-12,1201248.4799401674,1144746.6345385786,1199111.8754539378,1016674.7883885542,1029444.9799526344,1029651.4149928066,1150800.4432983638,1115426.1647226133,1145292.8613069896
2024-03-13,1210653.590497941,1149935.2469418088,1205595.430837182,1018358.4879591196,1030331.4517419162,1020811.6464907154,1156747.2101565693,1116208.015971776,1150852.535391004
2024-03-14,1214768.5661767763,1152251.322414552,1205775.640618563,1025824.1688456136,1037463.9205861684,1019902.1155603214,1158417.6439503788,1116735.0845765702,1149740.6458189446
2024-03-15,1183270.4631263963,1134155.025096129,1183576.0655654464,1033706.8920134064,1043926.6679852252,1012180.441529956,1138009.422145629,1102428.8585923505,1134173.5131389603
2024-03-18,1198322.5549862364,1145677.636400137,1199359.727965207,1034744.4313538112,1052957.614918223,1007147.5803765728,1151004.5918667624,1113482.530870106,1144551.5261843773
2024-03-19,1196708.102561927,1145347.3923335322,1196738.7303627566,1034632.2800570356,1053983.3811704656,1000107.2890692102,1150522.0727367434,1112213.868643083,1141957.0794789523
