symbol,window,val_reward,source_folder,source_ckpt,dest,notes
2330,55,42.1760,2330_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-42.176.data,trained_models/2330_all_55.data,
2330,60,,,,trained_models/2330_all_60.data,MISSING legacy checkpoint
2330,65,,,,trained_models/2330_all_65.data,MISSING legacy checkpoint
2330,75,,,,trained_models/2330_all_75.data,MISSING legacy checkpoint
2317,55,41.6980,2317_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-41.698.data,trained_models/2317_all_55.data,
2317,60,,,,trained_models/2317_all_60.data,MISSING legacy checkpoint
2317,65,,,,trained_models/2317_all_65.data,MISSING legacy checkpoint
2317,75,,,,trained_models/2317_all_75.data,MISSING legacy checkpoint
2454,55,26.1710,2454_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-26.171.data,trained_models/2454_all_55.data,
2454,60,,,,trained_models/2454_all_60.data,MISSING legacy checkpoint
2454,65,,,,trained_models/2454_all_65.data,MISSING legacy checkpoint
2454,75,,,,trained_models/2454_all_75.data,MISSING legacy checkpoint
2308,55,162.1840,2308_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-162.184.data,trained_models/2308_all_55.data,
2308,60,,,,trained_models/2308_all_60.data,MISSING legacy checkpoint
2308,65,,,,trained_models/2308_all_65.data,MISSING legacy checkpoint
2308,75,,,,trained_models/2308_all_75.data,MISSING legacy checkpoint
2303,55,39.8750,2303_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-39.875.data,trained_models/2303_all_55.data,
2303,60,29.1550,2303_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-29.155.data,trained_models/2303_all_60.data,
2303,65,51.6970,2303_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-51.697.data,trained_models/2303_all_65.data,
2303,75,,,,trained_models/2303_all_75.data,MISSING legacy checkpoint
2412,55,2.3870,2412_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-2.387.data,trained_models/2412_all_55.data,
2412,60,,,,trained_models/2412_all_60.data,MISSING legacy checkpoint
2412,65,,,,trained_models/2412_all_65.data,MISSING legacy checkpoint
2412,75,,,,trained_models/2412_all_75.data,MISSING legacy checkpoint
1303,55,73.9670,1303_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-73.967.data,trained_models/1303_all_55.data,
1303,60,77.1950,1303_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-77.195.data,trained_models/1303_all_60.data,
1303,65,93.2280,1303_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-93.228.data,trained_models/1303_all_65.data,
1303,75,,,,trained_models/1303_all_75.data,MISSING legacy checkpoint
2881,55,17.1070,2881_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-17.107.data,trained_models/2881_all_55.data,
2881,60,22.2540,2881_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-22.254.data,trained_models/2881_all_60.data,
2881,65,39.8140,2881_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-39.814.data,trained_models/2881_all_65.data,
2881,75,,,,trained_models/2881_all_75.data,MISSING legacy checkpoint
2891,55,36.1630,2891_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-36.163.data,trained_models/2891_all_55.data,
2891,60,38.4490,2891_60_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-38.449.data,trained_models/2891_all_60.data,
2891,65,24.3340,2891_65_val20240101_20260331_okohlcv_2h_novol_fpsfix2,best_val-24.334.data,trained_models/2891_all_65.data,
2891,75,,,,trained_models/2891_all_75.data,MISSING legacy checkpoint
2002,55,19.9920,2002_55_val20240101_20260331_okohlcv_1p5h_novol_fpsfix2,best_val-19.992.data,trained_models/2002_all_55.data,
